M=5,N=10
6063.000000,69
121.000000,105
6213.000000,75
6579.000000,107
23395.000000,154
99614.000000,290
6037.000000,124
102.000000,76
6665.000000,98
9261.000000,82
25243.000000,121
137284.000000,333
8598.000000,77
129.000000,111
7398.000000,77
10714.000000,89
35594.000000,208
171887.000000,317
5737.000000,99
121.000000,120
7362.000000,109
11613.000000,110
35062.000000,121
188859.000000,344
3980.000000,60
133.000000,131
5824.000000,106
14207.000000,85
4541.000000,63
128.000000,110
7225.000000,109
14476.000000,86
11109.000000,78
79.000000,89
16352.000000,74
47.000000,128
15656.000000,91
2453737.000000,101
2015238.000000,84
3351833.000000,114
4345857.000000,85
4010661.000000,121
4222029.000000,119
6231805.000000,153
6754344.000000,97
5533158.000000,71
7791273.000000,108
6859394.000000,107
6553025.000000,101
8505166.000000,121
9045765.000000,91
8226627.000000,154
2444255.000000,105
1980537.000000,159
3321028.000000,103
4251396.000000,104
3917083.000000,116
4195636.000000,134
6191199.000000,133
6708164.000000,151
5514461.000000,108
7804350.000000,146
6856770.000000,111
6374990.000000,134
8412861.000000,141
8833836.000000,130
8154858.000000,117
1106711.000000,430
3635550.000000,604
8614080.000000,648
252518838.000000,60
339.000000,78
324.000000,115
389.000000,100
398.000000,90
363.000000,125
440.000000,104
366.000000,79
361.000000,106
385.000000,79
405.000000,108
227.000000,95
245.000000,89
284.000000,92
291.000000,76
248.000000,82
242.000000,80
205.000000,88
249.000000,102
292.000000,83
258.000000,69
127.000000,115
126.000000,92
125.000000,83
111.000000,87
128.000000,105
128.000000,98
122.000000,96
112.000000,85
120.000000,100
127.000000,71
79.000000,69
85.000000,89
82.000000,74
81.000000,76
70.000000,78
87.000000,91
73.000000,80
82.000000,68
81.000000,71
70.000000,70
2014.000000,90
2060.000000,101
2032.000000,136
2067.000000,91
2039.000000,107
2108.000000,108
2032.000000,103
2074.000000,88
2022.000000,83
2004.000000,118
8190.000000,134
8045.000000,124
8039.000000,128
8139.000000,85
8125.000000,114
8169.000000,88
8212.000000,96
8249.000000,74
8199.000000,75
8098.000000,98
13585.000000,114
13417.000000,136
13461.000000,108
13656.000000,107
13512.000000,123
13571.000000,118
13640.000000,100
13495.000000,102
13593.000000,109
13658.000000,105
112.000000,84
110.000000,86
112.000000,115
106.000000,87
114.000000,111
112.000000,76
110.000000,83
112.000000,94
108.000000,75
110.000000,83
878.000000,151
868.000000,177
886.000000,131
874.000000,237
886.000000,174
866.000000,160
874.000000,157
880.000000,156
862.000000,152
886.000000,182
2398.000000,167
2374.000000,158
2386.000000,160
2388.000000,153
