M=20,N=10
15352.000000,382
19412.000000,405
17290.000000,340
17565.000000,358
19125.000000,465
15868.000000,370
17368.000000,359
18629.000000,426
18649.000000,374
13294.000000,448
12201.000000,419
13067.000000,440
13046.000000,365
12418.000000,401
13867.000000,411
11403.000000,452
12915.000000,376
14068.000000,437
14701.000000,447
10458.000000,406
19049.000000,393
18691.000000,406
18827.000000,455
19302.000000,402
20765.000000,450
20417.000000,387
18482.000000,384
22170.000000,408
19534.000000,456
18195.000000,432
17924.000000,489
18889.000000,466
17816.000000,471
17314.000000,443
19884.000000,472
16817.000000,451
16780.000000,438
18001.000000,438
18303.000000,444
12838.000000,500
28374.000000,477
27089.000000,467
26779.000000,437
29438.000000,516
26911.000000,441
28017.000000,429
29221.000000,461
31147.000000,454
29666.000000,425
25388.000000,500
23842.000000,571
25383.000000,655
25027.000000,559
28023.000000,553
27434.000000,611
26355.000000,601
26146.000000,621
30483.000000,569
27355.000000,629
24683.000000,545
42832.000000,671
48534.000000,687
40774.000000,540
43207.000000,548
43735.000000,582
41482.000000,533
49492.000000,655
46819.000000,510
44502.000000,613
43241.000000,454
23158.000000,708
24040.000000,656
22500.000000,696
22923.000000,812
24649.000000,712
21039.000000,674
22735.000000,734
24095.000000,790
23787.000000,694
20051.000000,708
12565.000000,357
7970.000000,405
11036.000000,417
12723.000000,349
10368.000000,360
9083.000000,353
10210.000000,390
10125.000000,378
11435.000000,401
11455.000000,401
40442.000000,576
45607.000000,719
44580.000000,672
49037.000000,670
41274.000000,602
47937.000000,672
41014.000000,704
46757.000000,853
35552.000000,686
48916.000000,688
130153.000000,1245
115799.000000,1386
128069.000000,1246
130550.000000,1209
129487.000000,1275
125283.000000,1285
121287.000000,1155
121725.000000,1421
123140.000000,1235
119954.000000,1269
3507.000000,292
2098.000000,307
3702.000000,293
4626.000000,263
3544.000000,301
4012.000000,273
3693.000000,292
4520.000000,271
4216.000000,285
3780.000000,352
1430.000000,376
1425.000000,367
1432.000000,349
1424.000000,476
1440.000000,402
1436.000000,385
1434.000000,359
1431.000000,339
1432.000000,358
1430.000000,370
536.000000,316
532.000000,282
529.000000,276
538.000000,341
527.000000,285
533.000000,313
531.000000,367
535.000000,324
530.000000,367
533.000000,270
929.000000,365
941.000000,247
934.000000,359
923.000000,346
932.000000,322
926.000000,415
929.000000,309
929.000000,350
925.000000,372
923.000000,337
1975.000000,599
554.000000,600
548.000000,595
578.000000,607
3050.000000,765
3039.000000,736
3039.000000,879
3034.000000,746
979.000000,652
898.000000,779
11602.000000,700
939.000000,673
916.000000,655
13279.000000,689
13269.000000,624
13270.000000,689
13251.000000,694
13270.000000,793
3248.000000,756
3227.000000,707
3326.000000,784
11596.000000,572
3322.000000,732
3227.000000,777
1388.000000,856
1352.000000,720
1362.000000,813
7635.000000,1016
7620.000000,1208
7648.000000,1084
7630.000000,973
2365.000000,920
11602.000000,650
2363.000000,1098
2350.000000,937
2440.000000,1059
6632.000000,621
6626.000000,636
6628.000000,646
6618.000000,678
6622.000000,556
6000.000000,888
6000.000000,640
11626.000000,592
5878.000000,1187
3829.000000,822
3830.000000,892
3837.000000,808
3834.000000,828
11604.000000,700
2144.000000,649
1964.000000,531
1976.000000,583
2018.000000,581
87.000000,445
19102.000000,376
3414.000000,313
133.000000,364
5058.000000,240
6333.000000,414
16458.000000,589
60965.000000,1303
6063.000000,308
121.000000,349
6213.000000,294
6579.000000,391
23395.000000,585
99635.000000,1316
6037.000000,368
118.000000,350
6665.000000,329
9261.000000,384
25243.000000,563
137260.000000,1285
8598.000000,349
99.000000,371
7398.000000,340
10727.000000,356
35578.000000,611
172034.000000,1343
5737.000000,360
150.000000,435
7362.000000,399
11626.000000,356
35149.000000,529
189214.000000,1203
3980.000000,244
110.000000,439
5824.000000,409
14207.000000,328
4541.000000,255
160.000000,405
7225.000000,350
14476.000000,330
11109.000000,372
137.000000,436
16352.000000,371
116.000000,494
15656.000000,390
2454597.000000,416
2031217.000000,428
3354259.000000,363
4345453.000000,493
4032441.000000,424
4228172.000000,508
6280101.000000,419
6783681.000000,418
5532949.000000,454
7879006.000000,510
6883044.000000,402
6539347.000000,407
8511163.000000,539
9042302.000000,466
8280166.000000,519
2448189.000000,424
1979650.000000,429
3330840.000000,364
4267029.000000,525
3932600.000000,483
4199033.000000,529
6192945.000000,477
6736013.000000,483
5529729.000000,495
7773396.000000,552
6857325.000000,495
6378748.000000,498
8447700.000000,559
8836027.000000,507
8217016.000000,562
1106702.000000,1923
3634545.000000,2399
8606330.000000,2813
252518838.000000,243
340.000000,439
324.000000,409
389.000000,421
400.000000,336
363.000000,424
441.000000,421
367.000000,415
361.000000,363
385.000000,323
405.000000,414
227.000000,389
245.000000,366
284.000000,369
291.000000,333
251.000000,361
242.000000,329
205.000000,311
249.000000,365
293.000000,422
258.000000,331
127.000000,370
126.000000,340
125.000000,368
111.000000,348
128.000000,362
128.000000,389
122.000000,325
112.000000,319
120.000000,347
127.000000,285
79.000000,256
85.000000,371
82.000000,313
81.000000,340
70.000000,360
87.000000,358
73.000000,317
83.000000,301
81.000000,284
70.000000,276
2015.000000,375
2060.000000,416
2032.000000,432
2067.000000,362
2039.000000,351
2108.000000,415
2032.000000,425
2074.000000,435
2022.000000,374
2005.000000,388
8190.000000,407
8045.000000,493
8039.000000,469
8139.000000,335
8125.000000,376
8169.000000,459
8217.000000,442
8249.000000,405
8199.000000,395
8099.000000,356
13585.000000,365
13417.000000,436
13461.000000,386
13656.000000,387
13512.000000,412
13574.000000,410
13640.000000,453
13495.000000,431
13593.000000,450
13658.000000,393
112.000000,357
110.000000,316
112.000000,337
106.000000,334
114.000000,384
112.000000,335
110.000000,341
112.000000,334
108.000000,310
110.000000,351
878.000000,593
878.000000,608
888.000000,689
878.000000,645
890.000000,683
870.000000,614
866.000000,657
892.000000,619
870.000000,592
884.000000,615
2396.000000,820
2384.000000,747
2406.000000,799
2378.000000,736
2390.000000,725
2384.000000,828
2398.000000,713
2378.000000,670
2386.000000,691
2376.000000,752
6049461.000000,519
5757868.000000,437
6509837.000000,390
15000723.000000,602
15709850.000000,633
15248095.000000,658
24640286.000000,663
29037992.000000,732
28238594.000000,867
10933215.000000,444
11582216.000000,459
11552046.000000,509
17434469.000000,601
20217380.000000,561
19475011.000000,577
28241429.000000,572
33585071.000000,610
28950528.000000,707
651.000000,383
719.000000,419
676.000000,390
813.000000,383
668.000000,371
643.000000,369
654.000000,376
725.000000,429
721.000000,349
729.000000,390
1646.000000,436
1606.000000,312
1902.000000,314
1627.000000,453
1546.000000,438
1581.000000,388
1479.000000,394
1986.000000,394
1311.000000,397
1752.000000,521
2118.000000,351
2096.000000,390
2723.000000,415
1990.000000,388
2033.000000,414
2433.000000,366
2220.000000,402
2249.000000,363
1843.000000,399
2043.000000,408
