M=50,N=05
15352.000000,602
19412.000000,677
17290.000000,546
17565.000000,637
19125.000000,596
15868.000000,640
17368.000000,608
18629.000000,673
18649.000000,658
13294.000000,649
12201.000000,652
13067.000000,685
13046.000000,717
12418.000000,645
13867.000000,649
11403.000000,813
12915.000000,706
14068.000000,758
14701.000000,713
10458.000000,640
19049.000000,699
18691.000000,677
18827.000000,718
19302.000000,701
20765.000000,702
20417.000000,679
18482.000000,656
22194.000000,700
19534.000000,709
18195.000000,663
17963.000000,828
18889.000000,830
17816.000000,797
17314.000000,795
19884.000000,750
16817.000000,753
16780.000000,770
18001.000000,748
18303.000000,809
12838.000000,756
28374.000000,753
27089.000000,777
26779.000000,730
29438.000000,744
26911.000000,741
28017.000000,764
29221.000000,694
31209.000000,778
29730.000000,841
25388.000000,814
23842.000000,849
25435.000000,957
25027.000000,972
28023.000000,1010
27434.000000,1017
26345.000000,988
26146.000000,937
30483.000000,1031
27353.000000,937
24683.000000,955
42832.000000,1009
48534.000000,1059
40807.000000,944
43207.000000,955
43757.000000,1075
41474.000000,890
49492.000000,1011
46828.000000,951
44502.000000,923
43241.000000,948
23159.000000,1224
24067.000000,1147
22523.000000,1231
22923.000000,1156
24637.000000,1255
21046.000000,1222
22735.000000,1221
24095.000000,1303
23787.000000,1306
20012.000000,1149
12565.000000,663
7970.000000,628
11036.000000,621
12723.000000,548
10368.000000,532
9083.000000,583
10210.000000,584
10125.000000,692
11435.000000,695
11455.000000,530
40442.000000,1157
45607.000000,1297
44810.000000,1230
49037.000000,1193
41274.000000,1158
47939.000000,1182
40962.000000,1224
46757.000000,1243
35620.000000,1091
48816.000000,1288
130395.000000,2319
115884.000000,2202
128084.000000,2140
130532.000000,2241
129931.000000,2237
125191.000000,2365
121386.000000,2377
121638.000000,2439
123235.000000,2357
120279.000000,2259
3507.000000,511
2098.000000,482
3702.000000,474
4626.000000,418
3544.000000,436
4012.000000,452
3693.000000,468
4520.000000,425
4216.000000,447
3780.000000,505
1430.000000,621
1425.000000,551
1432.000000,580
1424.000000,679
1440.000000,653
1436.000000,583
1434.000000,545
1431.000000,608
1432.000000,653
1430.000000,594
536.000000,430
532.000000,446
529.000000,443
538.000000,467
527.000000,438
533.000000,520
531.000000,478
535.000000,530
530.000000,567
533.000000,380
929.000000,493
941.000000,372
934.000000,549
923.000000,516
932.000000,515
926.000000,594
929.000000,521
929.000000,540
925.000000,596
923.000000,510
1958.000000,891
560.000000,886
550.000000,883
576.000000,855
3051.000000,1171
3038.000000,1218
3037.000000,1239
3035.000000,1262
981.000000,1206
898.000000,1047
11595.000000,924
937.000000,1114
917.000000,1113
13277.000000,1127
13277.000000,1091
13263.000000,1078
13267.000000,1030
13247.000000,1062
3255.000000,1055
3239.000000,1205
3312.000000,1078
11586.000000,1023
3330.000000,1109
3236.000000,1071
1388.000000,1167
1358.000000,1250
1362.000000,1109
7639.000000,1531
7623.000000,1687
7641.000000,1594
7633.000000,1741
2365.000000,1367
11602.000000,1013
2352.000000,1505
2357.000000,1445
2435.000000,1545
6637.000000,953
6626.000000,919
6616.000000,908
6622.000000,930
6632.000000,1004
6000.000000,1823
6000.000000,1342
11625.000000,1017
5878.000000,1853
3827.000000,1247
3837.000000,1362
3834.000000,1306
3835.000000,1235
11604.000000,883
2143.000000,895
1976.000000,946
1959.000000,866
2017.000000,932
54.000000,736
19102.000000,584
3414.000000,488
133.000000,498
5058.000000,354
6333.000000,730
16453.000000,1037
61086.000000,2412
6063.000000,450
121.000000,541
6213.000000,425
6579.000000,652
23395.000000,1049
99882.000000,2657
6037.000000,618
106.000000,502
6665.000000,524
9261.000000,632
25243.000000,961
137638.000000,2411
8598.000000,552
129.000000,560
7398.000000,471
10727.000000,562
35594.000000,1052
172695.000000,2361
5737.000000,489
137.000000,663
7362.000000,571
11626.000000,589
35154.000000,1011
189571.000000,2387
3980.000000,357
111.000000,603
5824.000000,676
14207.000000,583
4541.000000,361
103.000000,622
7225.000000,537
14476.000000,621
11109.000000,605
118.000000,605
16352.000000,634
113.000000,638
15656.000000,566
2456147.000000,693
2031217.000000,659
3363230.000000,636
4343544.000000,692
4057153.000000,644
4242184.000000,770
6276015.000000,737
6760623.000000,699
5522555.000000,666
7882807.000000,748
6889977.000000,755
6556486.000000,702
8529034.000000,724
9031769.000000,778
8277842.000000,856
2448189.000000,742
1984099.000000,674
3335814.000000,577
4271207.000000,744
3941201.000000,681
4195619.000000,764
6203124.000000,702
6730001.000000,661
5530493.000000,797
7790203.000000,885
6864293.000000,809
6381030.000000,842
8455718.000000,833
8859855.000000,785
8215670.000000,850
1106973.000000,3041
3635135.000000,4127
8617020.000000,4173
252518838.000000,363
340.000000,626
324.000000,583
389.000000,647
400.000000,548
363.000000,703
441.000000,597
367.000000,509
361.000000,639
385.000000,462
405.000000,619
227.000000,579
245.000000,595
284.000000,609
291.000000,546
249.000000,497
242.000000,579
205.000000,532
249.000000,555
293.000000,556
258.000000,468
127.000000,584
126.000000,512
125.000000,592
111.000000,567
128.000000,539
128.000000,649
122.000000,576
112.000000,507
120.000000,575
127.000000,472
79.000000,406
85.000000,522
82.000000,508
81.000000,496
70.000000,514
87.000000,509
73.000000,480
83.000000,437
81.000000,454
70.000000,428
2014.000000,605
2060.000000,592
2032.000000,650
2067.000000,630
2039.000000,605
2108.000000,606
2032.000000,666
2074.000000,595
2022.000000,595
2005.000000,628
8190.000000,615
8045.000000,678
8039.000000,678
8139.000000,604
8125.000000,626
8169.000000,692
8217.000000,655
8249.000000,644
8199.000000,580
8099.000000,594
13585.000000,671
13417.000000,693
13461.000000,673
13656.000000,649
13514.000000,650
13574.000000,671
13640.000000,668
13501.000000,680
13593.000000,696
13658.000000,570
112.000000,511
110.000000,526
112.000000,521
106.000000,507
114.000000,603
112.000000,522
110.000000,511
112.000000,536
108.000000,471
110.000000,517
878.000000,976
872.000000,935
888.000000,956
874.000000,975
886.000000,918
872.000000,884
872.000000,990
888.000000,913
868.000000,969
892.000000,985
2386.000000,1115
2372.000000,1193
2396.000000,1161
2384.000000,1109
2400.000000,1133
2380.000000,1159
2386.000000,1111
2376.000000,1083
2376.000000,1106
2358.000000,1099
6049461.000000,725
5757868.000000,787
6509837.000000,663
15051133.000000,954
15763716.000000,864
15250092.000000,986
24668751.000000,1043
29140976.000000,1043
28273295.000000,1121
10933215.000000,751
11582216.000000,747
11552046.000000,764
17434469.000000,854
20156327.000000,943
19443699.000000,887
28227965.000000,1017
33594216.000000,990
28926440.000000,921
651.000000,575
719.000000,615
676.000000,694
813.000000,620
668.000000,682
643.000000,552
654.000000,591
725.000000,665
721.000000,588
729.000000,621
1646.000000,619
1604.000000,544
1902.000000,553
1627.000000,572
1546.000000,606
1581.000000,631
1479.000000,615
1987.000000,567
1311.000000,604
1752.000000,617
2121.000000,593
2096.000000,605
2720.000000,643
1990.000000,665
2033.000000,640
2433.000000,573
2220.000000,592
2249.000000,584
1843.000000,623
2043.000000,623
