M=05,N=10
15352.000000,91
19412.000000,105
17290.000000,105
17532.000000,83
19125.000000,93
15868.000000,89
17368.000000,89
18629.000000,114
18641.000000,105
13294.000000,89
12201.000000,86
13060.000000,89
13046.000000,101
12372.000000,96
13867.000000,92
11403.000000,145
12915.000000,94
14068.000000,103
14559.000000,100
10458.000000,92
19049.000000,106
18691.000000,89
18827.000000,108
19302.000000,94
20765.000000,93
20417.000000,90
18482.000000,77
22170.000000,132
19515.000000,86
18195.000000,101
17891.000000,128
18889.000000,116
17756.000000,114
17314.000000,128
19884.000000,117
16814.000000,83
16771.000000,99
18001.000000,127
18303.000000,111
12814.000000,117
28283.000000,108
27089.000000,113
26667.000000,111
29438.000000,167
26856.000000,124
27988.000000,133
29221.000000,107
31102.000000,101
29730.000000,129
25388.000000,130
23842.000000,161
25250.000000,127
25027.000000,138
28014.000000,111
27420.000000,141
26355.000000,118
26143.000000,146
30483.000000,149
27353.000000,174
24651.000000,149
42832.000000,124
48498.000000,131
40807.000000,116
43131.000000,206
43757.000000,134
41242.000000,112
49492.000000,152
46772.000000,135
44422.000000,137
43201.000000,142
23121.000000,182
24041.000000,152
22429.000000,225
22922.000000,143
24630.000000,126
20965.000000,287
22735.000000,197
24095.000000,159
23678.000000,174
20035.000000,207
12565.000000,105
7970.000000,109
11036.000000,92
12723.000000,74
10368.000000,81
9083.000000,82
10210.000000,88
10125.000000,112
11435.000000,116
11455.000000,72
40412.000000,133
45607.000000,183
44810.000000,203
49013.000000,187
41164.000000,166
47824.000000,213
40922.000000,197
46757.000000,187
35179.000000,121
48756.000000,180
130155.000000,326
115213.000000,364
127981.000000,317
130553.000000,346
129758.000000,343
125241.000000,398
121209.000000,246
120818.000000,294
122448.000000,377
120417.000000,320
3507.000000,71
2098.000000,80
3702.000000,81
4626.000000,61
3544.000000,67
4012.000000,76
3693.000000,69
4520.000000,75
4216.000000,77
3780.000000,65
1430.000000,92
1424.000000,82
1432.000000,69
1424.000000,105
1440.000000,106
1436.000000,96
1434.000000,99
1431.000000,75
1432.000000,97
1430.000000,90
536.000000,78
532.000000,79
529.000000,66
538.000000,72
527.000000,64
533.000000,77
531.000000,83
535.000000,83
530.000000,83
533.000000,75
929.000000,80
941.000000,62
934.000000,87
923.000000,73
932.000000,79
926.000000,122
929.000000,99
929.000000,93
925.000000,89
923.000000,98
1954.000000,166
550.000000,129
548.000000,165
572.000000,128
3048.000000,232
3035.000000,173
3039.000000,204
3040.000000,172
977.000000,132
894.000000,145
11609.000000,183
927.000000,172
912.000000,120
13267.000000,207
13259.000000,186
13257.000000,171
13237.000000,186
13231.000000,132
3261.000000,165
3200.000000,141
3320.000000,207
11560.000000,122
3327.000000,153
3210.000000,234
1380.000000,209
1358.000000,185
1354.000000,165
7637.000000,285
7621.000000,338
7636.000000,309
7627.000000,300
2347.000000,206
11575.000000,128
2346.000000,213
2344.000000,231
2417.000000,241
6628.000000,151
6624.000000,133
6609.000000,167
6622.000000,161
6627.000000,149
6000.000000,140
6000.000000,155
11610.000000,137
5876.000000,307
3816.000000,202
3830.000000,215
3828.000000,198
3824.000000,195
11599.000000,195
2144.000000,129
1960.000000,164
1950.000000,118
1998.000000,142
0.000000,122
19102.000000,84
3414.000000,89
133.000000,78
5058.000000,60
6333.000000,103
16437.000000,119
61054.000000,378
6063.000000,67
118.000000,80
6213.000000,71
6579.000000,115
23381.000000,173
99758.000000,412
6037.000000,88
118.000000,113
6665.000000,77
9261.000000,100
25243.000000,132
137144.000000,259
8598.000000,76
118.000000,102
7398.000000,95
10727.000000,83
35558.000000,153
171706.000000,355
5737.000000,91
85.000000,136
7362.000000,85
11604.000000,107
34999.000000,107
188965.000000,402
3980.000000,60
85.000000,94
5824.000000,147
14157.000000,81
4541.000000,60
124.000000,100
7225.000000,75
14476.000000,91
11109.000000,101
73.000000,92
16352.000000,113
101.000000,133
15656.000000,84
2451329.000000,103
2013355.000000,74
3342882.000000,112
