M=30,N=15
15352.000000,752
19412.000000,802
17290.000000,685
17565.000000,732
19125.000000,887
15868.000000,812
17368.000000,688
18629.000000,752
18649.000000,795
13294.000000,766
12201.000000,807
13067.000000,767
13046.000000,779
12418.000000,711
13867.000000,817
11403.000000,841
12915.000000,784
14068.000000,803
14701.000000,781
10458.000000,807
19049.000000,793
18691.000000,839
18827.000000,860
19302.000000,787
20765.000000,842
20417.000000,812
18482.000000,839
22194.000000,839
19534.000000,829
18195.000000,827
17963.000000,988
18889.000000,925
17816.000000,934
17314.000000,871
19884.000000,867
16817.000000,890
16780.000000,843
18001.000000,936
18303.000000,866
12838.000000,985
28374.000000,833
27089.000000,913
26779.000000,851
29438.000000,961
26911.000000,843
28017.000000,889
29221.000000,842
31209.000000,880
29730.000000,896
25388.000000,1018
23842.000000,1053
25453.000000,1141
25027.000000,1036
28023.000000,1222
27434.000000,1006
26355.000000,1073
26146.000000,1133
30483.000000,1159
27355.000000,1062
24659.000000,1190
42832.000000,1217
48534.000000,1056
40774.000000,1002
43207.000000,1087
43757.000000,1035
41482.000000,1146
49492.000000,1043
46828.000000,966
44502.000000,1015
43241.000000,964
23158.000000,1313
24076.000000,1290
22515.000000,1263
22923.000000,1547
24649.000000,1333
21039.000000,1236
22735.000000,1255
24095.000000,1415
23801.000000,1216
20025.000000,1368
12565.000000,733
7970.000000,780
11036.000000,805
12723.000000,679
10368.000000,708
9083.000000,700
10210.000000,749
10125.000000,771
11435.000000,792
11455.000000,689
40442.000000,1229
45607.000000,1364
44810.000000,1345
49037.000000,1359
41274.000000,1182
47955.000000,1198
41014.000000,1204
46757.000000,1297
35666.000000,1329
48916.000000,1252
130614.000000,2447
116029.000000,2126
128195.000000,2305
130627.000000,2217
130067.000000,2238
125225.000000,2120
121043.000000,2593
122162.000000,2416
123240.000000,2578
120701.000000,2530
3507.000000,631
2098.000000,602
3702.000000,588
4626.000000,543
3544.000000,552
4012.000000,570
3693.000000,553
4520.000000,577
4216.000000,569
3780.000000,660
1430.000000,722
1425.000000,817
1432.000000,648
1424.000000,905
1440.000000,844
1436.000000,758
1434.000000,664
1431.000000,794
1432.000000,813
1430.000000,803
536.000000,624
532.000000,583
529.000000,569
538.000000,758
527.000000,544
533.000000,623
531.000000,706
535.000000,602
530.000000,749
533.000000,598
929.000000,714
941.000000,525
934.000000,709
923.000000,738
932.000000,641
926.000000,736
929.000000,613
929.000000,714
925.000000,776
923.000000,673
1965.000000,1296
560.000000,1119
550.000000,1144
576.000000,1079
3051.000000,1428
3040.000000,1666
3041.000000,1687
3038.000000,1380
983.000000,1447
900.000000,1422
11610.000000,1485
938.000000,1472
927.000000,1368
13287.000000,1417
13274.000000,1509
13273.000000,1574
13263.000000,1509
13276.000000,1562
3262.000000,1489
3220.000000,1622
3319.000000,1501
11592.000000,1293
3349.000000,1445
3254.000000,1483
1388.000000,1559
