M=05,N=15
15352.000000,140
19412.000000,115
17290.000000,125
17565.000000,103
19125.000000,139
15868.000000,121
17368.000000,133
18629.000000,109
18641.000000,122
13294.000000,132
12201.000000,118
13067.000000,121
13046.000000,137
12418.000000,134
13867.000000,122
11403.000000,136
12915.000000,135
14068.000000,109
14701.000000,157
10458.000000,129
19049.000000,125
18683.000000,126
18790.000000,147
19302.000000,131
20765.000000,136
20417.000000,188
18482.000000,125
22194.000000,137
19515.000000,155
18195.000000,134
17924.000000,152
18889.000000,211
17816.000000,150
17314.000000,167
19884.000000,150
16817.000000,142
16763.000000,138
17973.000000,158
18303.000000,150
12838.000000,151
28374.000000,144
27061.000000,170
26712.000000,161
29399.000000,175
26911.000000,163
28017.000000,133
29208.000000,134
31209.000000,175
29637.000000,147
25388.000000,202
23809.000000,154
25284.000000,175
24998.000000,171
28014.000000,277
27428.000000,211
26345.000000,214
26135.000000,224
30483.000000,214
27355.000000,168
24683.000000,171
42832.000000,173
48498.000000,166
40773.000000,150
43073.000000,169
43757.000000,162
41474.000000,166
49492.000000,141
46780.000000,140
44303.000000,169
43241.000000,194
23143.000000,255
23996.000000,187
22431.000000,183
22923.000000,281
24649.000000,213
20966.000000,219
22735.000000,271
23953.000000,267
23781.000000,187
19917.000000,209
12565.000000,113
7970.000000,130
11032.000000,122
12723.000000,113
10368.000000,117
9083.000000,129
10210.000000,117
10098.000000,141
11435.000000,119
11455.000000,91
40442.000000,221
45607.000000,226
44583.000000,224
49037.000000,219
41274.000000,209
47849.000000,190
40932.000000,239
46528.000000,194
35088.000000,220
48916.000000,286
130173.000000,386
115472.000000,435
127543.000000,417
130263.000000,464
129451.000000,308
124974.000000,343
120911.000000,417
121573.000000,480
122968.000000,433
120077.000000,420
3507.000000,106
2098.000000,95
3702.000000,99
4626.000000,87
3544.000000,96
4012.000000,101
3693.000000,93
4520.000000,88
4216.000000,98
3780.000000,106
1430.000000,108
1425.000000,131
1432.000000,117
1424.000000,145
1440.000000,149
1436.000000,106
1434.000000,112
1431.000000,110
1432.000000,153
1430.000000,111
536.000000,111
532.000000,91
529.000000,106
538.000000,123
527.000000,95
533.000000,93
531.000000,118
535.000000,109
530.000000,119
533.000000,102
929.000000,104
941.000000,88
934.000000,119
923.000000,133
932.000000,117
926.000000,106
929.000000,95
929.000000,127
925.000000,137
923.000000,98
1961.000000,181
554.000000,180
546.000000,156
572.000000,160
3040.000000,216
3025.000000,250
3043.000000,346
3030.000000,266
979.000000,214
894.000000,284
11605.000000,207
936.000000,262
924.000000,296
13273.000000,300
13251.000000,241
13262.000000,247
13226.000000,199
13234.000000,247
3229.000000,229
3210.000000,269
3303.000000,234
11591.000000,239
3336.000000,265
3231.000000,248
1382.000000,262
1362.000000,246
1360.000000,265
7625.000000,324
7639.000000,380
7638.000000,453
7640.000000,467
2374.000000,276
11578.000000,188
2352.000000,358
2350.000000,322
2429.000000,270
6626.000000,189
6624.000000,222
6610.000000,204
6627.000000,245
6618.000000,194
6000.000000,244
6000.000000,193
11624.000000,245
5878.000000,439
3825.000000,227
3834.000000,300
3828.000000,266
3827.000000,357
11592.000000,281
2114.000000,150
1961.000000,171
1961.000000,187
2010.000000,163
12.000000,159
19102.000000,138
3414.000000,90
133.000000,157
5058.000000,85
6333.000000,115
16440.000000,179
60987.000000,412
6063.000000,109
121.000000,131
6213.000000,109
6579.000000,131
23360.000000,204
99687.000000,501
6037.000000,109
106.000000,141
6665.000000,121
9261.000000,108
25243.000000,208
137689.000000,518
8598.000000,124
103.000000,152
7398.000000,119
10727.000000,136
35558.000000,155
171893.000000,361
5737.000000,114
119.000000,127
7362.000000,119
11626.000000,113
35154.000000,147
189146.000000,410
3980.000000,86
103.000000,152
5824.000000,124
14207.000000,108
4541.000000,86
97.000000,108
7225.000000,103
14476.000000,146
11109.000000,99
127.000000,222
16352.000000,122
108.000000,146
15656.000000,98
2456147.000000,119
2031217.000000,132
3350657.000000,163
4331105.000000,136
4041836.000000,124
4238700.000000,157
6275174.000000,153
6757033.000000,133
5512539.000000,162
7853828.000000,187
6846223.000000,152
6544145.000000,144
8498610.000000,151
8960577.000000,135
8255280.000000,173
2444140.000000,167
1976400.000000,159
3326312.000000,115
4271573.000000,158
3920174.000000,190
4202004.000000,180
6192665.000000,163
6727183.000000,172
5530973.000000,164
7759959.000000,209
6842400.000000,150
6356768.000000,217
8422014.000000,162
8867202.000000,188
8213247.000000,175
1102965.000000,526
3632420.000000,945
8615255.000000,849
252518838.000000,89
339.000000,132
324.000000,143
389.000000,117
400.000000,117
363.000000,152
441.000000,135
366.000000,128
361.000000,122
385.000000,97
405.000000,127
227.000000,131
245.000000,119
284.000000,166
291.000000,106
251.000000,108
242.000000,136
205.000000,120
249.000000,114
293.000000,161
258.000000,99
127.000000,132
126.000000,140
125.000000,108
111.000000,122
128.000000,128
128.000000,132
122.000000,115
112.000000,105
120.000000,142
127.000000,89
79.000000,90
85.000000,98
82.000000,95
81.000000,132
70.000000,107
87.000000,98
73.000000,114
82.000000,99
81.000000,95
70.000000,113
2014.000000,145
2060.000000,146
2031.000000,126
2067.000000,132
2039.000000,142
2108.000000,121
2032.000000,136
2074.000000,137
2022.000000,122
2005.000000,179
8190.000000,125
8045.000000,139
8039.000000,143
8139.000000,107
8120.000000,130
8169.000000,139
8213.000000,125
8245.000000,143
8199.000000,124
8099.000000,111
13585.000000,125
13417.000000,166
13461.000000,107
13656.000000,166
13514.000000,141
13573.000000,144
13640.000000,129
13495.000000,124
13593.000000,148
13658.000000,134
112.000000,131
110.000000,113
112.000000,136
106.000000,124
114.000000,116
112.000000,125
110.000000,115
112.000000,151
108.000000,119
110.000000,108
870.000000,146
876.000000,246
878.000000,170
870.000000,218
886.000000,207
870.000000,183
868.000000,178
888.000000,222
860.000000,201
884.000000,307
2378.000000,237
2374.000000,224
2402.000000,227
2390.000000,318
2390.000000,313
2388.000000,259
2396.000000,242
2388.000000,291
2378.000000,225
2368.000000,288
6049461.000000,175
5757868.000000,188
6509837.000000,145
15015954.000000,194
15631472.000000,165
15243424.000000,279
24692167.000000,298
28950172.000000,229
28104834.000000,283
10933215.000000,176
11582216.000000,188
11552046.000000,270
17434469.000000,213
20168627.000000,223
19440707.000000,180
28194969.000000,267
33578669.000000,246
28780621.000000,151
651.000000,105
719.000000,127
676.000000,144
812.000000,124
668.000000,128
643.000000,114
654.000000,142
725.000000,148
721.000000,145
729.000000,174
1646.000000,161
1606.000000,99
1902.000000,100
1627.000000,168
1543.000000,169
1581.000000,152
1479.000000,133
1984.000000,111
1305.000000,134
1752.000000,125
2121.000000,149
2096.000000,144
2723.000000,181
1990.000000,152
2032.000000,158
2433.000000,151
2220.000000,124
2252.000000,138
1843.000000,120
2043.000000,128
