M=15,N=10
15352.000000,272
19412.000000,316
17290.000000,240
17565.000000,253
19125.000000,370
15868.000000,330
17368.000000,257
18629.000000,286
18641.000000,273
13294.000000,255
12201.000000,309
13067.000000,313
13046.000000,283
12418.000000,315
13867.000000,312
11403.000000,356
12915.000000,329
14068.000000,332
14701.000000,404
10458.000000,274
19049.000000,329
18691.000000,295
18797.000000,315
19302.000000,309
20765.000000,341
20417.000000,316
18482.000000,264
22170.000000,285
19534.000000,335
18195.000000,321
17932.000000,350
18889.000000,394
17816.000000,333
17314.000000,325
19884.000000,271
16817.000000,395
16780.000000,315
18001.000000,340
18303.000000,369
12838.000000,359
28374.000000,341
27089.000000,303
26779.000000,414
29438.000000,347
26911.000000,358
28017.000000,377
29221.000000,285
31209.000000,310
29656.000000,376
25388.000000,371
23842.000000,405
25423.000000,413
25027.000000,401
28023.000000,463
27434.000000,489
26355.000000,471
26146.000000,445
30483.000000,501
27298.000000,386
24683.000000,437
42821.000000,493
48534.000000,453
40821.000000,439
43091.000000,388
43757.000000,361
41437.000000,447
49492.000000,461
46828.000000,384
44502.000000,352
43241.000000,445
23158.000000,568
24041.000000,566
22480.000000,451
22923.000000,550
24649.000000,494
21057.000000,559
22735.000000,545
24095.000000,579
23701.000000,506
20051.000000,628
12565.000000,269
7970.000000,265
11036.000000,295
12723.000000,253
10368.000000,242
9083.000000,281
10210.000000,294
10125.000000,309
11435.000000,368
11455.000000,291
40442.000000,536
45607.000000,592
44738.000000,581
49037.000000,458
41254.000000,516
47955.000000,514
41014.000000,493
46757.000000,563
35451.000000,584
48816.000000,529
130351.000000,1040
115799.000000,1016
128221.000000,932
130550.000000,923
129704.000000,949
125331.000000,859
120759.000000,956
121905.000000,926
123174.000000,920
119859.000000,948
3507.000000,232
2098.000000,222
3702.000000,223
4626.000000,191
3544.000000,229
4012.000000,218
3693.000000,205
4520.000000,199
4216.000000,218
3780.000000,263
1430.000000,314
1425.000000,278
1432.000000,251
1424.000000,341
1440.000000,291
1436.000000,283
1434.000000,237
1431.000000,275
1431.000000,282
1430.000000,272
536.000000,221
532.000000,208
529.000000,197
538.000000,297
527.000000,200
533.000000,224
531.000000,234
535.000000,244
530.000000,271
533.000000,226
929.000000,267
941.000000,193
934.000000,240
923.000000,244
932.000000,242
926.000000,284
929.000000,231
929.000000,283
925.000000,288
923.000000,258
1974.000000,423
558.000000,443
550.000000,433
578.000000,388
3046.000000,659
3037.000000,599
3039.000000,553
3035.000000,707
982.000000,506
900.000000,561
11603.000000,414
938.000000,500
919.000000,495
13302.000000,500
13260.000000,492
13275.000000,524
13240.000000,586
13242.000000,547
3239.000000,468
3232.000000,552
3302.000000,490
11584.000000,444
3337.000000,473
3241.000000,614
1386.000000,643
1360.000000,592
1358.000000,577
7644.000000,789
7621.000000,806
7638.000000,755
7635.000000,905
2358.000000,653
11598.000000,466
2362.000000,814
2349.000000,716
2432.000000,690
6641.000000,520
6625.000000,531
6621.000000,456
6617.000000,485
6625.000000,494
6000.000000,661
6000.000000,464
11627.000000,462
5880.000000,769
3829.000000,586
3827.000000,545
3839.000000,620
3833.000000,659
11604.000000,505
2141.000000,504
1974.000000,432
1966.000000,404
2017.000000,420
84.000000,339
19102.000000,266
3414.000000,213
133.000000,256
5058.000000,180
6333.000000,266
16458.000000,450
61134.000000,1020
6063.000000,197
121.000000,318
6213.000000,213
6579.000000,329
23383.000000,395
99636.000000,980
6037.000000,279
118.000000,254
6665.000000,241
9261.000000,254
25243.000000,385
137547.000000,922
8598.000000,286
118.000000,298
7398.000000,270
10727.000000,281
35578.000000,455
172339.000000,1057
5737.000000,269
113.000000,258
7362.000000,266
11626.000000,278
35075.000000,406
189378.000000,906
3980.000000,181
119.000000,356
5824.000000,364
14207.000000,264
4541.000000,186
101.000000,329
7225.000000,286
14476.000000,259
11109.000000,328
106.000000,373
16352.000000,281
94.000000,349
15656.000000,233
2457741.000000,341
2018896.000000,313
3363230.000000,292
4345287.000000,293
4029567.000000,317
4227282.000000,423
6272902.000000,350
6764219.000000,278
5515807.000000,297
7870570.000000,342
6888078.000000,350
6537930.000000,340
8542328.000000,346
9056511.000000,363
8284546.000000,398
2440894.000000,335
1984099.000000,378
3333735.000000,280
4271791.000000,363
3932773.000000,349
4204853.000000,364
6184812.000000,336
6715823.000000,343
5532842.000000,385
7754721.000000,439
6867729.000000,410
6395764.000000,329
8417455.000000,411
8870330.000000,391
8189093.000000,391
1106489.000000,1280
3634830.000000,1771
8614275.000000,1895
252518838.000000,185
340.000000,292
324.000000,342
389.000000,318
400.000000,266
363.000000,323
441.000000,320
366.000000,255
361.000000,308
385.000000,230
405.000000,325
227.000000,272
245.000000,238
284.000000,309
291.000000,235
251.000000,269
242.000000,292
205.000000,254
249.000000,247
293.000000,294
258.000000,254
127.000000,318
126.000000,252
125.000000,254
111.000000,272
128.000000,261
128.000000,269
122.000000,265
112.000000,229
120.000000,278
127.000000,216
79.000000,216
85.000000,230
82.000000,225
81.000000,233
70.000000,261
87.000000,245
73.000000,259
83.000000,210
81.000000,211
70.000000,222
2019.000000,273
2060.000000,248
2032.000000,329
2067.000000,252
2039.000000,276
2108.000000,273
2032.000000,353
2074.000000,324
2022.000000,244
2005.000000,313
8190.000000,282
8045.000000,378
8039.000000,306
8139.000000,271
8125.000000,321
8169.000000,347
8217.000000,297
8249.000000,301
8199.000000,282
8099.000000,304
13585.000000,315
13417.000000,364
13461.000000,321
13656.000000,323
13514.000000,304
13574.000000,327
13640.000000,304
13501.000000,337
13593.000000,316
13658.000000,266
112.000000,242
110.000000,261
112.000000,295
106.000000,218
114.000000,251
112.000000,238
110.000000,253
112.000000,270
108.000000,223
110.000000,246
874.000000,397
876.000000,427
888.000000,486
872.000000,381
888.000000,419
866.000000,452
866.000000,456
892.000000,437
872.000000,561
888.000000,470
2398.000000,603
2384.000000,538
2414.000000,565
2384.000000,552
2392.000000,557
2382.000000,497
2394.000000,601
2388.000000,572
2386.000000,606
2356.000000,548
6049461.000000,377
5757868.000000,355
6509837.000000,317
14993710.000000,413
15724600.000000,394
15228582.000000,442
24683359.000000,554
29183729.000000,545
28178045.000000,433
10933215.000000,392
11582216.000000,353
11552046.000000,387
17434469.000000,552
20163226.000000,381
19388052.000000,407
28232672.000000,484
33362609.000000,442
28956942.000000,441
651.000000,246
719.000000,281
676.000000,342
813.000000,338
668.000000,303
643.000000,274
654.000000,282
725.000000,316
721.000000,305
729.000000,310
1646.000000,332
1606.000000,310
1902.000000,248
1627.000000,265
1545.000000,334
1581.000000,301
1473.000000,262
1985.000000,298
1311.000000,312
1749.000000,296
2118.000000,301
2092.000000,286
2738.000000,369
1990.000000,373
2032.000000,315
2433.000000,305
2220.000000,305
2252.000000,253
1843.000000,322
2043.000000,288
