M=20,N=15
15352.000000,520
19412.000000,494
17290.000000,446
17565.000000,460
19125.000000,558
15868.000000,495
17368.000000,453
18629.000000,551
18649.000000,538
13294.000000,521
12201.000000,564
13067.000000,552
13046.000000,595
12418.000000,556
13867.000000,550
11403.000000,651
12915.000000,560
14068.000000,538
14701.000000,576
10458.000000,530
19049.000000,513
18683.000000,545
18827.000000,622
19302.000000,542
20765.000000,508
20417.000000,521
18482.000000,515
22194.000000,568
19534.000000,518
18195.000000,556
17932.000000,637
18889.000000,635
17816.000000,563
17314.000000,578
19884.000000,619
16817.000000,585
16780.000000,550
18001.000000,597
18303.000000,627
12838.000000,637
28374.000000,526
27089.000000,550
26779.000000,593
29438.000000,660
26911.000000,607
28017.000000,558
29221.000000,561
31209.000000,564
29666.000000,603
25388.000000,641
23842.000000,679
25453.000000,687
25027.000000,682
28023.000000,841
27434.000000,838
26355.000000,804
26146.000000,682
30483.000000,775
27353.000000,771
24659.000000,661
42832.000000,741
48534.000000,754
40774.000000,599
43207.000000,669
43757.000000,757
41482.000000,749
49492.000000,692
46828.000000,659
44502.000000,654
43241.000000,675
23158.000000,813
24038.000000,771
22540.000000,848
22923.000000,966
24649.000000,879
21057.000000,914
22717.000000,840
24095.000000,899
23801.000000,834
20035.000000,1048
12565.000000,528
7928.000000,493
11036.000000,517
12723.000000,455
10368.000000,452
9083.000000,477
10210.000000,478
10125.000000,505
11435.000000,574
11455.000000,459
40442.000000,968
45607.000000,841
44810.000000,834
49037.000000,874
41274.000000,893
47955.000000,862
41014.000000,849
46757.000000,860
35666.000000,816
48916.000000,833
130181.000000,1457
115972.000000,1675
128031.000000,1411
130694.000000,1426
129713.000000,1421
125329.000000,1559
121538.000000,1738
121736.000000,1683
123291.000000,1536
120015.000000,1789
3507.000000,420
2098.000000,387
3702.000000,408
4626.000000,361
3544.000000,388
4012.000000,392
3693.000000,372
4520.000000,375
4216.000000,377
3780.000000,432
1430.000000,478
1425.000000,550
1432.000000,432
1424.000000,721
1440.000000,494
1436.000000,513
1434.000000,432
1431.000000,496
1432.000000,569
1430.000000,463
536.000000,405
532.000000,376
529.000000,373
538.000000,453
527.000000,395
533.000000,407
531.000000,466
535.000000,417
530.000000,486
533.000000,402
929.000000,479
941.000000,361
934.000000,496
923.000000,469
932.000000,435
926.000000,527
929.000000,444
929.000000,473
925.000000,505
923.000000,459
1966.000000,874
556.000000,739
552.000000,732
576.000000,887
3055.000000,1048
3039.000000,1063
3037.000000,901
3036.000000,981
986.000000,1143
904.000000,902
11604.000000,805
939.000000,894
923.000000,950
13301.000000,1077
13292.000000,1089
13276.000000,1048
13279.000000,983
13243.000000,1010
3247.000000,935
3244.000000,1010
3308.000000,1011
11590.000000,833
3341.000000,926
3224.000000,991
1390.000000,1037
1360.000000,933
1362.000000,1055
7642.000000,1566
7631.000000,1755
7645.000000,1650
7645.000000,1574
2369.000000,1165
11602.000000,934
2375.000000,1358
2374.000000,1447
2451.000000,1442
6635.000000,927
6624.000000,773
6621.000000,756
6620.000000,831
6637.000000,790
6000.000000,1082
6000.000000,748
11633.000000,803
5874.000000,1002
3832.000000,1260
3834.000000,1165
3835.000000,1166
3837.000000,1119
11609.000000,822
2149.000000,734
1957.000000,728
1971.000000,772
2032.000000,898
113.000000,894
19102.000000,511
3414.000000,453
133.000000,514
5058.000000,346
6333.000000,559
16464.000000,703
60977.000000,1528
6063.000000,402
121.000000,497
6213.000000,405
6579.000000,518
23389.000000,801
99757.000000,1723
6037.000000,518
118.000000,523
6665.000000,442
9261.000000,474
25243.000000,749
137685.000000,1626
8598.000000,447
118.000000,592
7398.000000,454
10727.000000,483
35594.000000,650
172324.000000,1872
5737.000000,445
150.000000,530
7362.000000,506
11626.000000,505
35154.000000,727
190502.000000,1830
3980.000000,342
100.000000,523
5824.000000,624
14207.000000,487
4541.000000,351
97.000000,564
7225.000000,448
14476.000000,439
11109.000000,458
123.000000,623
16352.000000,518
99.000000,641
15656.000000,457
2452699.000000,589
2018896.000000,631
3355622.000000,586
4341123.000000,537
4048673.000000,636
4242788.000000,780
6264911.000000,611
6786535.000000,563
5559260.000000,595
7879736.000000,774
6906440.000000,571
6567138.000000,685
8515268.000000,566
9038334.000000,620
8272918.000000,691
2447263.000000,560
1980285.000000,740
3327990.000000,583
4264955.000000,612
3935551.000000,650
4205866.000000,662
6193617.000000,598
6728850.000000,671
5541133.000000,734
7774607.000000,688
6869550.000000,753
6405129.000000,697
8431155.000000,679
8877099.000000,653
8212545.000000,718
1108185.000000,2536
3638735.000000,3694
8610275.000000,3518
252518838.000000,347
339.000000,508
324.000000,499
389.000000,583
400.000000,464
363.000000,526
441.000000,508
367.000000,535
361.000000,507
385.000000,409
405.000000,641
227.000000,517
245.000000,492
284.000000,550
291.000000,460
251.000000,488
242.000000,505
205.000000,482
249.000000,472
293.000000,541
258.000000,473
127.000000,519
126.000000,463
125.000000,491
111.000000,427
128.000000,481
128.000000,578
122.000000,494
112.000000,418
120.000000,541
127.000000,394
78.000000,358
85.000000,474
82.000000,409
81.000000,423
70.000000,422
87.000000,450
73.000000,445
83.000000,390
81.000000,407
70.000000,407
2019.000000,616
2060.000000,494
2032.000000,632
2067.000000,484
2039.000000,454
2108.000000,510
2032.000000,563
2074.000000,506
2022.000000,459
2005.000000,608
8190.000000,526
8045.000000,675
8039.000000,553
8139.000000,484
8125.000000,526
8169.000000,530
8217.000000,612
8249.000000,595
8199.000000,507
8099.000000,442
13585.000000,576
13417.000000,618
13461.000000,564
13656.000000,558
13514.000000,549
13574.000000,685
13640.000000,652
13501.000000,619
13593.000000,589
13658.000000,526
112.000000,515
110.000000,446
112.000000,473
106.000000,455
114.000000,480
112.000000,454
110.000000,454
112.000000,476
108.000000,463
110.000000,490
882.000000,958
880.000000,755
892.000000,807
878.000000,803
884.000000,754
876.000000,956
878.000000,819
886.000000,878
868.000000,835
888.000000,853
2412.000000,1107
2386.000000,1092
2418.000000,1005
2404.000000,1088
2404.000000,1076
2396.000000,949
2408.000000,1095
2386.000000,1041
2396.000000,935
2368.000000,919
6049461.000000,693
5757868.000000,577
6509837.000000,529
15015954.000000,771
15752637.000000,680
15245314.000000,734
24793645.000000,874
29281396.000000,1017
28081584.000000,949
10933215.000000,635
11582216.000000,590
11552046.000000,674
17425388.000000,766
20173612.000000,828
19413164.000000,843
28268065.000000,887
33585071.000000,842
28867129.000000,798
651.000000,489
719.000000,529
676.000000,613
813.000000,549
668.000000,514
643.000000,514
654.000000,443
725.000000,563
721.000000,583
729.000000,578
1646.000000,622
1604.000000,421
1902.000000,435
1627.000000,560
1546.000000,671
1581.000000,586
1479.000000,526
1985.000000,573
1311.000000,526
1752.000000,639
2118.000000,513
2092.000000,540
2721.000000,621
1990.000000,599
2033.000000,643
2433.000000,525
2220.000000,507
2252.000000,486
1843.000000,557
2043.000000,556
