M=40,N=15
15352.000000,1030
19412.000000,970
17290.000000,891
17565.000000,928
19125.000000,1201
15868.000000,954
17368.000000,971
18629.000000,1087
18649.000000,1127
13294.000000,1075
12201.000000,1129
13067.000000,1020
13046.000000,1178
12418.000000,1027
13867.000000,1072
11403.000000,1134
12915.000000,1078
14068.000000,1045
14701.000000,1162
10458.000000,1019
19049.000000,1057
18691.000000,1162
18827.000000,1212
19302.000000,1133
20765.000000,1097
20417.000000,1039
18482.000000,1166
22194.000000,1176
19534.000000,1106
18195.000000,1141
17963.000000,1267
18889.000000,1257
17816.000000,1245
17314.000000,1198
19884.000000,1254
16817.000000,1163
16780.000000,1181
18001.000000,1341
18303.000000,1194
12838.000000,1206
28374.000000,1247
27089.000000,1281
26779.000000,1027
29438.000000,1401
26911.000000,1195
28017.000000,1226
29221.000000,1069
31209.000000,1182
29730.000000,1325
25388.000000,1256
23842.000000,1256
25423.000000,1416
25027.000000,1349
28023.000000,1596
27434.000000,1427
26355.000000,1558
26146.000000,1500
30483.000000,1510
27355.000000,1522
24683.000000,1440
42832.000000,1573
48534.000000,1738
40807.000000,1420
43207.000000,1477
43735.000000,1386
41482.000000,1544
49492.000000,1389
46828.000000,1371
44502.000000,1307
43241.000000,1342
23159.000000,1831
24041.000000,1873
22540.000000,1731
22923.000000,1857
24649.000000,1684
21057.000000,1882
22735.000000,1873
24095.000000,1669
23801.000000,1745
20025.000000,1686
12565.000000,982
7970.000000,932
11036.000000,1074
12723.000000,921
10368.000000,975
9083.000000,1052
10210.000000,1014
10125.000000,1091
11435.000000,1091
11455.000000,888
40442.000000,1748
45607.000000,1794
44810.000000,1869
49037.000000,1671
41274.000000,1672
47955.000000,1548
41014.000000,1821
46757.000000,1656
35726.000000,1780
48916.000000,1658
130614.000000,2909
115919.000000,3080
128120.000000,3013
130716.000000,3183
130023.000000,2873
125415.000000,3382
121376.000000,3012
122019.000000,3118
123193.000000,3220
120570.000000,3101
3507.000000,860
2098.000000,762
3702.000000,785
4626.000000,716
3544.000000,798
4012.000000,766
3693.000000,740
4520.000000,756
4216.000000,756
3780.000000,919
1430.000000,972
1425.000000,1063
1432.000000,871
1424.000000,1144
1440.000000,1061
1436.000000,1004
1434.000000,868
1431.000000,1146
1432.000000,1030
1430.000000,1019
536.000000,819
532.000000,760
529.000000,796
538.000000,978
527.000000,767
533.000000,828
531.000000,932
