M=40,N=05
15352.000000,485
19412.000000,548
17290.000000,421
17565.000000,506
19125.000000,546
15868.000000,478
17368.000000,475
18629.000000,524
18649.000000,464
13294.000000,544
12201.000000,546
13067.000000,588
13046.000000,561
12418.000000,520
13867.000000,562
11403.000000,751
12915.000000,562
14068.000000,572
14701.000000,576
10458.000000,501
19049.000000,528
18691.000000,539
18827.000000,607
19302.000000,520
20765.000000,583
20417.000000,584
18482.000000,475
22194.000000,540
19534.000000,518
18195.000000,563
17944.000000,619
18889.000000,681
17816.000000,612
17314.000000,652
19884.000000,653
16817.000000,664
16780.000000,600
18001.000000,580
18303.000000,659
12838.000000,629
28374.000000,587
27089.000000,562
26779.000000,553
29438.000000,660
26911.000000,581
28017.000000,658
29221.000000,569
31209.000000,602
29730.000000,655
25388.000000,635
23842.000000,744
25453.000000,741
25027.000000,813
28023.000000,869
27425.000000,811
26355.000000,824
26146.000000,789
30483.000000,894
27355.000000,798
24659.000000,751
42832.000000,826
48534.000000,822
40821.000000,724
43207.000000,808
43687.000000,776
41482.000000,757
49492.000000,880
46828.000000,737
44502.000000,743
43241.000000,803
23159.000000,946
24076.000000,970
22523.000000,1008
22923.000000,915
24649.000000,975
21012.000000,922
22735.000000,1081
24095.000000,957
23801.000000,1027
19976.000000,1013
12565.000000,499
7970.000000,527
11036.000000,516
12723.000000,460
10368.000000,426
9083.000000,532
10210.000000,521
10125.000000,573
11435.000000,528
11455.000000,433
40420.000000,992
45607.000000,1058
44810.000000,1045
49037.000000,980
41274.000000,897
47925.000000,903
41014.000000,949
46753.000000,1008
35664.000000,914
48874.000000,975
130449.000000,1683
116271.000000,1942
128173.000000,1853
130756.000000,1843
129963.000000,1882
125139.000000,1778
121303.000000,1886
122014.000000,1803
123341.000000,1863
120193.000000,1985
3507.000000,356
2098.000000,387
3702.000000,353
4626.000000,322
3544.000000,376
4012.000000,356
3693.000000,337
4520.000000,338
4216.000000,339
3780.000000,429
1430.000000,467
1425.000000,482
1432.000000,468
1424.000000,515
1440.000000,479
1436.000000,434
1434.000000,453
1431.000000,465
1432.000000,510
1430.000000,516
536.000000,349
532.000000,370
529.000000,328
538.000000,373
527.000000,341
533.000000,382
531.000000,403
535.000000,398
530.000000,464
533.000000,325
929.000000,374
941.000000,305
934.000000,466
923.000000,418
932.000000,403
926.000000,480
929.000000,407
929.000000,462
925.000000,478
923.000000,392
1958.000000,718
556.000000,701
552.000000,676
574.000000,696
3047.000000,925
3037.000000,974
3034.000000,959
3032.000000,970
981.000000,915
896.000000,796
11586.000000,773
938.000000,850
922.000000,905
13292.000000,841
13281.000000,859
13245.000000,852
13266.000000,840
13240.000000,832
3249.000000,819
3196.000000,898
3330.000000,983
11586.000000,734
3325.000000,833
3232.000000,895
1384.000000,938
1358.000000,958
1364.000000,1003
7634.000000,1260
7618.000000,1346
7641.000000,1235
7635.000000,1259
2365.000000,1082
11592.000000,743
2353.000000,1144
2364.000000,1203
2437.000000,1204
6642.000000,826
6624.000000,795
6618.000000,793
6621.000000,772
6624.000000,696
6000.000000,1264
6000.000000,1073
11629.000000,880
5878.000000,1543
3827.000000,1063
3829.000000,949
3833.000000,1051
3834.000000,1059
11602.000000,763
2154.000000,769
1956.000000,700
1963.000000,681
2020.000000,784
0.000000,470
19102.000000,479
3414.000000,382
133.000000,401
5058.000000,285
6333.000000,557
16464.000000,773
60990.000000,1974
6063.000000,363
121.000000,447
6213.000000,380
6579.000000,558
23395.000000,861
100033.000000,2033
6037.000000,492
118.000000,514
6665.000000,408
9261.000000,479
25243.000000,771
137244.000000,1772
8598.000000,453
118.000000,438
7398.000000,435
10727.000000,449
35594.000000,785
172330.000000,1938
5737.000000,388
121.000000,465
7362.000000,455
11626.000000,545
35154.000000,707
189767.000000,1973
3980.000000,291
146.000000,476
5824.000000,544
14207.000000,431
4541.000000,297
122.000000,459
7225.000000,435
14476.000000,527
11109.000000,468
93.000000,425
16352.000000,525
112.000000,467
15656.000000,456
2460049.000000,504
2031217.000000,541
3356213.000000,461
4354633.000000,601
4031651.000000,499
4240860.000000,564
6269248.000000,588
6765504.000000,588
5527772.000000,582
7867915.000000,595
6877031.000000,593
6561231.000000,556
8539550.000000,605
9040212.000000,574
8262741.000000,654
2448189.000000,564
1980555.000000,576
3332073.000000,450
4267476.000000,593
3944008.000000,459
4201361.000000,620
6203137.000000,656
6736703.000000,580
5543522.000000,653
7790044.000000,717
6871348.000000,633
6378307.000000,614
8449800.000000,698
8836947.000000,700
8214562.000000,743
1104834.000000,2321
3631225.000000,3351
8607335.000000,2994
252518838.000000,291
340.000000,493
324.000000,461
389.000000,478
400.000000,413
363.000000,561
