M=20,N=05
15352.000000,246
19412.000000,281
17290.000000,224
17565.000000,248
19125.000000,257
15868.000000,217
17368.000000,263
18629.000000,285
18649.000000,275
13294.000000,278
12201.000000,266
13067.000000,273
13046.000000,295
12418.000000,249
13867.000000,266
11403.000000,353
12915.000000,257
14068.000000,277
14701.000000,273
10458.000000,263
19049.000000,236
18691.000000,283
18827.000000,282
19302.000000,283
20765.000000,262
20417.000000,284
18482.000000,251
22194.000000,272
19534.000000,287
18195.000000,262
17963.000000,283
18889.000000,319
17816.000000,329
17314.000000,317
19884.000000,285
16817.000000,278
16780.000000,298
18001.000000,291
18294.000000,293
12838.000000,308
28374.000000,329
27089.000000,309
26777.000000,304
29438.000000,357
26911.000000,273
28017.000000,306
29221.000000,264
31110.000000,333
29712.000000,320
25388.000000,342
23800.000000,319
25453.000000,346
25027.000000,389
28018.000000,454
27434.000000,341
26345.000000,352
26146.000000,395
30483.000000,446
27353.000000,324
24659.000000,392
42832.000000,395
48498.000000,454
40821.000000,380
43088.000000,362
43757.000000,416
41468.000000,408
49492.000000,393
46819.000000,338
44502.000000,370
43241.000000,368
23149.000000,439
24076.000000,441
22500.000000,496
22923.000000,454
24649.000000,501
21014.000000,536
22626.000000,520
24095.000000,523
23801.000000,550
20035.000000,459
12565.000000,238
7964.000000,260
11036.000000,239
12723.000000,236
10368.000000,197
9083.000000,245
10210.000000,248
10125.000000,288
11435.000000,268
11455.000000,191
40420.000000,499
45589.000000,525
44738.000000,511
49037.000000,547
41171.000000,434
47869.000000,447
40996.000000,461
46702.000000,493
35444.000000,501
48816.000000,457
130531.000000,824
115938.000000,883
128146.000000,862
130714.000000,855
129860.000000,1017
125487.000000,900
121034.000000,1029
121706.000000,789
123054.000000,978
120223.000000,1025
3507.000000,184
2098.000000,181
3702.000000,182
4626.000000,179
3544.000000,196
4012.000000,162
3693.000000,177
4520.000000,171
4216.000000,184
3780.000000,202
1430.000000,202
1425.000000,235
1432.000000,232
1424.000000,280
1440.000000,268
1436.000000,240
1434.000000,220
1431.000000,209
1432.000000,236
1430.000000,249
536.000000,174
532.000000,174
529.000000,182
538.000000,188
527.000000,160
533.000000,196
531.000000,180
535.000000,207
530.000000,234
533.000000,156
929.000000,224
941.000000,148
934.000000,229
923.000000,202
932.000000,229
926.000000,212
929.000000,204
929.000000,228
925.000000,233
923.000000,204
1956.000000,365
552.000000,345
550.000000,347
574.000000,346
3054.000000,491
3036.000000,567
3034.000000,513
3033.000000,444
983.000000,422
898.000000,438
11606.000000,388
936.000000,473
912.000000,424
13251.000000,451
13262.000000,426
13244.000000,418
13272.000000,449
13236.000000,433
3231.000000,428
3212.000000,487
3295.000000,440
11584.000000,402
3335.000000,468
3211.000000,413
1380.000000,442
1354.000000,459
1358.000000,454
7628.000000,567
7626.000000,711
7636.000000,669
7625.000000,625
2351.000000,515
11586.000000,374
2362.000000,690
2350.000000,589
2425.000000,602
6627.000000,386
6622.000000,383
6609.000000,370
6614.000000,363
6629.000000,397
6000.000000,742
6000.000000,509
11609.000000,459
5868.000000,790
3829.000000,526
3826.000000,498
3834.000000,474
3824.000000,488
11588.000000,386
2132.000000,340
1961.000000,371
1967.000000,359
2014.000000,379
99.000000,288
19102.000000,234
3414.000000,187
133.000000,220
5058.000000,150
6333.000000,279
16439.000000,404
60883.000000,998
6063.000000,193
121.000000,247
6213.000000,174
6579.000000,269
23387.000000,433
99939.000000,988
6037.000000,219
118.000000,247
6665.000000,210
9261.000000,241
25243.000000,358
137215.000000,953
8598.000000,216
106.000000,221
7398.000000,207
10727.000000,263
35594.000000,446
172128.000000,989
5737.000000,201
121.000000,227
7362.000000,237
11626.000000,242
35154.000000,376
190327.000000,1171
3980.000000,142
128.000000,263
5824.000000,269
14207.000000,237
4541.000000,157
115.000000,210
7225.000000,265
14476.000000,231
11109.000000,248
121.000000,250
16352.000000,233
81.000000,267
15656.000000,223
2451116.000000,276
2031217.000000,282
3348839.000000,219
4345738.000000,251
4057153.000000,320
4228675.000000,336
6258795.000000,295
6764520.000000,295
5535425.000000,287
7863988.000000,277
6883291.000000,309
6567048.000000,285
8525572.000000,290
9004298.000000,327
8268941.000000,306
2440565.000000,289
1972322.000000,258
3323577.000000,215
4268422.000000,288
3934163.000000,257
4206524.000000,333
6200537.000000,340
6737134.000000,279
5542092.000000,306
7772185.000000,304
6852340.000000,298
6392854.000000,324
8429664.000000,326
8878220.000000,330
8206983.000000,352
1106829.000000,1313
3627095.000000,1625
8597755.000000,1705
252518838.000000,152
340.000000,230
324.000000,225
389.000000,246
400.000000,231
363.000000,267
440.000000,253
366.000000,230
361.000000,251
385.000000,172
405.000000,265
227.000000,226
245.000000,203
284.000000,260
291.000000,219
248.000000,187
242.000000,216
205.000000,238
249.000000,235
293.000000,217
258.000000,208
127.000000,236
126.000000,222
125.000000,224
111.000000,206
128.000000,224
128.000000,253
122.000000,211
112.000000,219
120.000000,239
127.000000,176
79.000000,173
85.000000,201
82.000000,202
81.000000,189
70.000000,215
87.000000,208
73.000000,204
83.000000,161
81.000000,164
70.000000,179
2019.000000,269
2060.000000,237
2032.000000,272
2067.000000,233
2039.000000,237
2108.000000,229
2032.000000,253
2074.000000,236
2022.000000,238
2005.000000,237
8190.000000,251
8042.000000,314
8039.000000,303
8139.000000,235
8125.000000,266
8169.000000,289
8217.000000,264
8249.000000,224
8199.000000,246
8099.000000,218
13585.000000,253
13417.000000,270
13461.000000,270
13656.000000,269
13512.000000,265
13574.000000,290
13640.000000,253
13496.000000,263
13593.000000,288
13658.000000,244
112.000000,215
110.000000,213
112.000000,211
106.000000,216
114.000000,219
112.000000,205
110.000000,217
112.000000,251
108.000000,211
110.000000,199
872.000000,342
876.000000,368
890.000000,437
874.000000,367
888.000000,383
870.000000,433
866.000000,314
884.000000,337
864.000000,374
884.000000,351
2390.000000,419
2374.000000,398
2396.000000,428
2370.000000,442
2394.000000,448
2368.000000,400
2382.000000,412
2374.000000,450
2382.000000,466
2356.000000,471
6049461.000000,302
5757868.000000,327
6509837.000000,247
14936381.000000,361
15744162.000000,348
15172410.000000,359
24655452.000000,455
29141726.000000,451
28156405.000000,442
10933215.000000,296
11582216.000000,294
11552046.000000,325
17400528.000000,317
20131704.000000,401
19475011.000000,311
28148169.000000,360
33508876.000000,403
28856185.000000,384
651.000000,226
719.000000,242
670.000000,236
813.000000,202
668.000000,249
643.000000,213
654.000000,246
725.000000,262
721.000000,239
727.000000,248
1646.000000,274
1604.000000,208
1902.000000,205
1627.000000,281
1545.000000,288
1581.000000,250
1473.000000,243
1987.000000,261
1311.000000,228
1751.000000,236
2118.000000,252
2096.000000,242
2715.000000,235
1990.000000,274
2031.000000,254
2433.000000,256
2220.000000,242
2249.000000,232
1843.000000,264
2043.000000,241
