M=50,N=10
15352.000000,963
19412.000000,911
17290.000000,825
17565.000000,923
19125.000000,1037
15868.000000,884
17368.000000,851
18629.000000,958
18649.000000,960
13294.000000,969
12201.000000,984
13067.000000,1145
13046.000000,1098
12418.000000,997
13867.000000,1019
11403.000000,1137
12915.000000,1053
14068.000000,1123
14701.000000,1052
10458.000000,883
19049.000000,1015
18691.000000,998
18827.000000,1191
19302.000000,1083
20765.000000,1111
20417.000000,1022
18482.000000,1058
22194.000000,1075
19534.000000,1030
18195.000000,1128
17963.000000,1098
18889.000000,1103
17816.000000,1153
17314.000000,1110
19884.000000,1204
16817.000000,1065
16780.000000,1094
18001.000000,1195
18303.000000,1224
12838.000000,1182
28374.000000,1173
27089.000000,1124
26779.000000,1076
29438.000000,1247
26911.000000,1118
28017.000000,1248
29221.000000,1049
31164.000000,1121
29730.000000,1244
25388.000000,1171
23842.000000,1294
25453.000000,1298
25027.000000,1487
28023.000000,1728
27434.000000,1488
26355.000000,1632
26146.000000,1496
30483.000000,1500
27355.000000,1473
24659.000000,1380
42832.000000,1517
48534.000000,1684
40821.000000,1464
43158.000000,1587
43757.000000,1524
41474.000000,1259
49492.000000,1482
46828.000000,1400
44502.000000,1171
43241.000000,1334
23158.000000,1638
24076.000000,1783
22523.000000,1685
22923.000000,1732
24649.000000,1848
21057.000000,1998
22735.000000,1966
24095.000000,1918
23801.000000,1964
20051.000000,1837
12565.000000,956
7970.000000,982
11036.000000,969
12723.000000,882
10368.000000,827
9083.000000,958
10210.000000,962
10125.000000,1020
11435.000000,1105
11455.000000,868
40442.000000,1667
45607.000000,1899
44810.000000,1659
49037.000000,1737
41274.000000,1684
47955.000000,1631
41014.000000,1740
46757.000000,1774
35726.000000,1774
48916.000000,1828
130619.000000,3070
115743.000000,3260
128176.000000,3154
130812.000000,3515
130042.000000,3276
125475.000000,2925
121262.000000,3286
121640.000000,3224
123221.000000,3375
120676.000000,3151
3507.000000,731
2098.000000,714
3702.000000,693
4626.000000,663
3544.000000,721
4012.000000,690
3693.000000,687
4520.000000,723
4216.000000,686
3780.000000,798
1430.000000,963
1425.000000,1044
1432.000000,876
1424.000000,1025
1440.000000,995
1436.000000,860
1434.000000,856
1431.000000,901
1432.000000,1071
1430.000000,935
536.000000,743
532.000000,712
529.000000,711
538.000000,812
527.000000,710
533.000000,802
531.000000,774
535.000000,765
530.000000,923
533.000000,704
929.000000,816
941.000000,635
934.000000,868
923.000000,945
932.000000,767
926.000000,888
929.000000,853
929.000000,845
925.000000,956
923.000000,848
1962.000000,1482
556.000000,1371
552.000000,1529
576.000000,1371
3056.000000,1948
3041.000000,1981
3038.000000,1853
3038.000000,1921
987.000000,1636
900.000000,1748
11603.000000,1580
938.000000,1648
926.000000,1681
13298.000000,1996
13275.000000,1747
13267.000000,1831
13262.000000,1737
13257.000000,1878
3262.000000,1792
3235.000000,1772
3337.000000,1698
11580.000000,1585
3334.000000,1840
3224.000000,1732
1384.000000,2029
1356.000000,1840
1366.000000,1949
7647.000000,2652
7631.000000,2760
7641.000000,2917
7655.000000,2865
2380.000000,2590
11598.000000,1656
2371.000000,2572
2366.000000,2383
2447.000000,2504
6638.000000,1688
6623.000000,1525
6618.000000,1469
6626.000000,1505
6629.000000,1557
6000.000000,2143
6000.000000,1617
11634.000000,1702
5878.000000,3026
3830.000000,2048
3837.000000,1950
3836.000000,2016
