M=30,N=05
19399444.000000,569
28255972.000000,548
33416193.000000,531
28940785.000000,567
651.000000,329
719.000000,404
674.000000,362
813.000000,347
668.000000,389
643.000000,332
654.000000,324
725.000000,367
721.000000,321
729.000000,373
1646.000000,360
1606.000000,335
1902.000000,290
1627.000000,370
1545.000000,355
1578.000000,400
1473.000000,342
1987.000000,345
1311.000000,402
1749.000000,382
2121.000000,335
2089.000000,339
2730.000000,435
1990.000000,382
2032.000000,390
2433.000000,366
2220.000000,369
2252.000000,356
1843.000000,356
2043.000000,368
