M=10,N=10
15352.000000,181
19412.000000,196
17290.000000,192
17565.000000,162
19125.000000,190
15868.000000,198
17368.000000,181
18629.000000,217
18649.000000,186
13294.000000,195
12201.000000,210
13067.000000,186
13046.000000,217
12418.000000,178
13867.000000,186
11403.000000,252
12915.000000,209
14068.000000,213
14701.000000,240
10458.000000,175
19049.000000,218
18683.000000,232
18827.000000,231
19302.000000,205
20765.000000,245
20417.000000,196
18482.000000,206
22194.000000,232
19534.000000,193
18195.000000,240
17934.000000,214
18889.000000,244
17816.000000,217
17314.000000,249
19884.000000,234
16817.000000,237
16763.000000,222
18001.000000,257
18303.000000,243
12838.000000,256
28374.000000,186
27089.000000,226
26754.000000,205
29438.000000,242
26911.000000,249
28017.000000,261
29221.000000,192
31164.000000,211
29730.000000,240
25361.000000,194
23842.000000,245
25453.000000,298
25027.000000,267
28014.000000,330
27434.000000,260
26345.000000,246
26146.000000,293
30483.000000,282
27355.000000,239
24648.000000,276
42821.000000,296
48498.000000,316
40821.000000,323
43179.000000,249
43757.000000,252
41482.000000,286
49492.000000,241
46828.000000,291
44466.000000,304
43241.000000,302
23149.000000,318
24024.000000,344
22524.000000,339
22923.000000,342
24649.000000,313
21038.000000,427
22735.000000,343
24095.000000,333
23699.000000,334
19912.000000,368
12565.000000,222
7928.000000,182
11036.000000,167
12723.000000,183
10368.000000,184
9083.000000,204
10210.000000,212
10125.000000,183
11435.000000,218
11455.000000,180
40266.000000,300
45583.000000,354
44738.000000,349
49037.000000,363
41199.000000,400
47943.000000,334
41006.000000,289
46757.000000,349
35546.000000,338
48423.000000,314
130313.000000,649
115667.000000,647
127654.000000,571
130744.000000,627
129678.000000,516
125143.000000,521
120432.000000,582
120895.000000,652
122877.000000,543
120066.000000,613
3507.000000,167
2098.000000,148
3702.000000,138
4626.000000,126
3544.000000,146
4012.000000,139
3693.000000,139
4520.000000,151
4216.000000,136
3780.000000,140
1430.000000,204
1425.000000,201
1432.000000,154
1424.000000,224
1440.000000,192
