M=40,N=10
15352.000000,793
19412.000000,750
17290.000000,714
17565.000000,740
19125.000000,733
15868.000000,754
17368.000000,688
18629.000000,885
18649.000000,774
13294.000000,793
12201.000000,873
13067.000000,895
13046.000000,811
12418.000000,783
13867.000000,788
11403.000000,905
12915.000000,820
14068.000000,847
14701.000000,876
10458.000000,775
19049.000000,812
18691.000000,801
18827.000000,926
19302.000000,938
20765.000000,906
20417.000000,834
18482.000000,776
22194.000000,815
19534.000000,887
18195.000000,919
17963.000000,937
18889.000000,970
17816.000000,951
17314.000000,867
19884.000000,929
16817.000000,808
16780.000000,910
18001.000000,936
18303.000000,936
12838.000000,879
28374.000000,893
27089.000000,867
26779.000000,874
29438.000000,1012
26911.000000,982
28017.000000,928
29221.000000,833
31209.000000,878
29730.000000,965
25388.000000,1008
23842.000000,1018
25453.000000,1125
25027.000000,1142
28023.000000,1299
27434.000000,1183
26355.000000,1141
26146.000000,1112
30483.000000,1175
27353.000000,1133
24683.000000,1137
42832.000000,1178
48534.000000,1256
40821.000000,1170
43207.000000,1242
43757.000000,1191
41482.000000,1218
49492.000000,1135
46819.000000,1069
44502.000000,1164
43241.000000,1134
23159.000000,1440
24076.000000,1344
22523.000000,1337
22923.000000,1429
24649.000000,1291
21057.000000,1465
22735.000000,1433
24095.000000,1380
23801.000000,1486
20051.000000,1471
12565.000000,726
7970.000000,842
11036.000000,780
12723.000000,670
10368.000000,653
9083.000000,819
10210.000000,701
10125.000000,813
11435.000000,875
11455.000000,686
40442.000000,1425
45607.000000,1412
44810.000000,1399
49037.000000,1383
41274.000000,1302
47943.000000,1197
41014.000000,1567
46757.000000,1373
35726.000000,1263
48874.000000,1393
130619.000000,2585
116262.000000,2330
128229.000000,2504
130694.000000,2539
129905.000000,2784
125487.000000,2517
121351.000000,2530
121708.000000,2491
123501.000000,2414
120570.000000,2735
3507.000000,587
2098.000000,581
3702.000000,542
4626.000000,521
3544.000000,564
4012.000000,546
3693.000000,575
4520.000000,566
4216.000000,562
3780.000000,670
1430.000000,722
1425.000000,757
1432.000000,703
1424.000000,864
1440.000000,786
1436.000000,771
1434.000000,651
1431.000000,752
1432.000000,767
1430.000000,709
536.000000,608
532.000000,609
529.000000,550
538.000000,756
527.000000,546
533.000000,605
531.000000,711
535.000000,618
530.000000,732
533.000000,533
929.000000,659
941.000000,501
934.000000,688
923.000000,683
932.000000,656
926.000000,743
929.000000,686
929.000000,721
925.000000,769
923.000000,639
1962.000000,1188
556.000000,1078
548.000000,1110
578.000000,1198
3054.000000,1383
3043.000000,1536
3041.000000,1726
3037.000000,1511
985.000000,1395
900.000000,1455
11605.000000,1364
939.000000,1356
925.000000,1425
13303.000000,1472
13275.000000,1645
13266.000000,1463
13266.000000,1391
13273.000000,1345
3264.000000,1384
3217.000000,1460
3310.000000,1507
11597.000000,1391
3349.000000,1426
3211.000000,1324
1384.000000,1538
1358.000000,1480
1364.000000,1560
7641.000000,2122
7632.000000,2478
7647.000000,2223
7646.000000,2278
2371.000000,1942
11599.000000,1346
2357.000000,2034
2372.000000,1881
2437.000000,1917
6639.000000,1319
6624.000000,1363
6630.000000,1284
6625.000000,1278
6633.000000,1201
6000.000000,1678
6000.000000,1268
11632.000000,1344
5878.000000,2209
3833.000000,1687
3832.000000,1672
3832.000000,1738
3836.000000,1578
11613.000000,1297
2152.000000,1228
1971.000000,1204
1971.000000,1155
2030.000000,1232
133.000000,1042
19102.000000,768
3414.000000,613
133.000000,615
5058.000000,485
6333.000000,889
16464.000000,1295
60942.000000,2841
6063.000000,614
121.000000,753
6213.000000,589
6579.000000,764
23395.000000,1163
99876.000000,2717
6037.000000,773
118.000000,801
6665.000000,658
9261.000000,723
25243.000000,1194
137629.000000,2832
8598.000000,667
129.000000,734
7398.000000,642
10727.000000,712
35594.000000,1241
172725.000000,2566
5737.000000,712
150.000000,842
7362.000000,712
11626.000000,743
35154.000000,1110
189454.000000,2912
3980.000000,483
119.000000,869
5824.000000,871
14207.000000,694
4541.000000,500
148.000000,950
7225.000000,685
14476.000000,747
11109.000000,735
100.000000,888
16352.000000,721
102.000000,969
15656.000000,679
2457741.000000,878
2016450.000000,824
3352758.000000,748
4343435.000000,816
4045461.000000,835
4225564.000000,910
6270727.000000,960
6771511.000000,953
5539893.000000,886
7875173.000000,868
6895914.000000,846
6545387.000000,924
8547228.000000,895
9044761.000000,915
8285144.000000,1037
2448189.000000,800
1980555.000000,912
3326312.000000,733
4260179.000000,983
3941160.000000,897
4194169.000000,924
6206812.000000,886
6739135.000000,985
5533573.000000,1076
7779726.000000,1170
6869452.000000,1057
6382237.000000,1103
8447191.000000,1110
8844958.000000,984
8227959.000000,1102
1109218.000000,3719
3637720.000000,5279
8618485.000000,5550
252518838.000000,492
340.000000,795
324.000000,818
389.000000,826
400.000000,674
363.000000,800
441.000000,790
367.000000,730
361.000000,813
385.000000,575
405.000000,837
227.000000,777
245.000000,785
284.000000,777
291.000000,652
249.000000,665
242.000000,802
205.000000,713
249.000000,735
293.000000,769
258.000000,689
127.000000,789
126.000000,655
125.000000,698
111.000000,678
128.000000,727
128.000000,865
122.000000,762
112.000000,674
120.000000,761
127.000000,588
79.000000,525
85.000000,663
82.000000,622
81.000000,625
70.000000,639
87.000000,653
73.000000,683
83.000000,582
81.000000,551
70.000000,558
2019.000000,809
2060.000000,745
2032.000000,918
2067.000000,857
2039.000000,738
2108.000000,749
2032.000000,832
2074.000000,803
2022.000000,711
2005.000000,913
8190.000000,823
8045.000000,939
8039.000000,849
8139.000000,706
8125.000000,837
8169.000000,854
8217.000000,916
8249.000000,868
8199.000000,781
8099.000000,700
13585.000000,786
13417.000000,950
13461.000000,835
13656.000000,839
13514.000000,937
13574.000000,944
13640.000000,848
13497.000000,823
13593.000000,867
13658.000000,832
112.000000,724
110.000000,698
112.000000,694
106.000000,679
114.000000,805
112.000000,664
110.000000,702
112.000000,724
108.000000,636
110.000000,628
882.000000,1256
884.000000,1259
892.000000,1249
878.000000,1254
890.000000,1301
876.000000,1324
878.000000,1171
884.000000,1234
872.000000,1233
888.000000,1259
2404.000000,1495
2394.000000,1451
2400.000000,1613
2384.000000,1523
2392.000000,1517
2390.000000,1468
2400.000000,1496
2384.000000,1400
2396.000000,1488
2362.000000,1345
6049461.000000,943
5757868.000000,968
6509837.000000,759
15051133.000000,1164
15747507.000000,1010
15250092.000000,1135
24710969.000000,1456
29143015.000000,1310
28125494.000000,1345
10933215.000000,937
11582216.000000,903
11552046.000000,1039
17434469.000000,1238
20163226.000000,1031
19434071.000000,967
28234826.000000,1183
33565178.000000,1156
28934322.000000,1162
651.000000,696
719.000000,817
676.000000,884
813.000000,779
668.000000,721
643.000000,693
654.000000,753
725.000000,830
721.000000,766
729.000000,818
1646.000000,754
1604.000000,654
1902.000000,672
1627.000000,806
1545.000000,867
1581.000000,831
1479.000000,726
1987.000000,796
1306.000000,818
1752.000000,885
2118.000000,735
2096.000000,796
2730.000000,858
1990.000000,839
2033.000000,840
2433.000000,769
2220.000000,832
2249.000000,797
1843.000000,754
2043.000000,750
