M=15,N=05
15352.000000,180
19412.000000,202
17290.000000,158
17565.000000,173
19125.000000,201
15868.000000,178
17368.000000,158
18629.000000,225
18649.000000,179
13294.000000,211
12201.000000,211
13067.000000,168
13046.000000,200
12418.000000,202
13867.000000,216
11403.000000,233
12915.000000,192
14068.000000,232
14701.000000,207
10458.000000,183
19049.000000,206
18691.000000,206
18827.000000,230
19302.000000,202
20765.000000,209
20417.000000,206
18482.000000,181
22194.000000,183
19534.000000,185
18195.000000,211
17932.000000,226
18889.000000,213
17816.000000,231
17314.000000,229
19884.000000,260
16817.000000,211
16780.000000,248
18001.000000,235
18294.000000,242
12838.000000,236
28374.000000,249
27089.000000,202
26779.000000,229
29438.000000,223
26856.000000,222
28017.000000,243
29221.000000,246
31164.000000,243
29730.000000,294
25388.000000,246
23842.000000,286
25416.000000,305
25027.000000,281
28023.000000,272
27418.000000,321
26345.000000,271
26145.000000,276
30483.000000,285
27353.000000,273
24659.000000,266
42786.000000,299
48498.000000,300
40767.000000,299
43122.000000,298
43757.000000,341
41314.000000,319
49492.000000,359
46828.000000,286
44502.000000,315
43241.000000,300
23127.000000,370
24076.000000,392
22467.000000,299
22922.000000,339
24649.000000,374
21057.000000,352
22735.000000,359
24079.000000,390
23749.000000,358
19958.000000,380
12565.000000,191
7970.000000,198
11036.000000,181
12723.000000,183
10368.000000,168
9083.000000,195
10210.000000,212
10125.000000,243
11435.000000,175
11455.000000,161
40442.000000,338
45607.000000,398
44738.000000,472
49037.000000,337
41236.000000,344
47877.000000,363
40962.000000,354
46702.000000,363
35370.000000,348
48824.000000,371
130353.000000,641
115333.000000,600
127931.000000,606
130596.000000,778
129506.000000,690
124703.000000,587
121039.000000,737
121236.000000,711
123150.000000,599
119898.000000,639
3507.000000,150
2098.000000,155
3702.000000,135
4626.000000,123
3544.000000,126
4012.000000,132
3693.000000,123
4520.000000,126
4216.000000,140
3780.000000,159
1430.000000,176
1425.000000,161
1432.000000,176
1424.000000,183
1440.000000,190
1436.000000,164
1434.000000,152
1431.000000,168
1432.000000,202
1430.000000,184
536.000000,150
532.000000,126
529.000000,121
538.000000,142
527.000000,124
533.000000,132
531.000000,161
535.000000,153
530.000000,169
533.000000,124
929.000000,162
941.000000,119
934.000000,164
923.000000,163
932.000000,169
926.000000,173
929.000000,159
929.000000,161
925.000000,160
923.000000,165
1955.000000,283
554.000000,257
552.000000,256
574.000000,250
3046.000000,312
3033.000000,339
3036.000000,327
3031.000000,363
984.000000,359
895.000000,302
11608.000000,291
937.000000,325
915.000000,321
13281.000000,346
13260.000000,309
13242.000000,342
13267.000000,322
13258.000000,338
3238.000000,292
3188.000000,341
3319.000000,291
11590.000000,283
3341.000000,386
3231.000000,318
1380.000000,350
1346.000000,349
1356.000000,365
7621.000000,461
7617.000000,476
7638.000000,494
7633.000000,525
2359.000000,450
11581.000000,304
2340.000000,433
2353.000000,449
2437.000000,477
6638.000000,304
6599.000000,304
6614.000000,287
6617.000000,296
6613.000000,304
6000.000000,447
6000.000000,371
11624.000000,288
5872.000000,617
3830.000000,396
3830.000000,346
3833.000000,403
3826.000000,351
11591.000000,261
2144.000000,272
1962.000000,246
1960.000000,279
1999.000000,246
0.000000,217
19102.000000,200
3414.000000,125
133.000000,155
5058.000000,106
6333.000000,192
16439.000000,269
60954.000000,670
6063.000000,149
121.000000,175
6213.000000,125
6579.000000,178
23372.000000,288
99781.000000,819
6037.000000,196
102.000000,176
6665.000000,140
9261.000000,175
25243.000000,338
137209.000000,774
8598.000000,172
90.000000,150
7398.000000,145
10727.000000,166
35594.000000,318
171742.000000,629
5737.000000,157
107.000000,190
7362.000000,162
11613.000000,181
35154.000000,298
189668.000000,651
3980.000000,107
113.000000,165
5824.000000,203
14207.000000,188
4541.000000,108
119.000000,180
7225.000000,166
14476.000000,183
11109.000000,162
108.000000,149
16352.000000,201
61.000000,189
15656.000000,170
2448327.000000,249
2016450.000000,208
3352758.000000,192
4344804.000000,198
4045461.000000,188
4219733.000000,231
6242089.000000,200
6754789.000000,222
5511559.000000,190
7847015.000000,237
6873220.000000,209
6547768.000000,214
8515552.000000,243
9025451.000000,236
8274383.000000,250
2440894.000000,212
1980555.000000,194
3313899.000000,201
4261244.000000,203
3934163.000000,191
4186171.000000,220
6202463.000000,205
6734647.000000,203
5515974.000000,227
7786089.000000,220
6851083.000000,249
6384760.000000,270
8424809.000000,266
8869309.000000,220
8187799.000000,269
1104739.000000,845
3633650.000000,1204
8601620.000000,1219
252518838.000000,107
339.000000,174
324.000000,185
389.000000,172
400.000000,164
363.000000,194
441.000000,187
366.000000,182
361.000000,179
385.000000,135
405.000000,191
227.000000,190
245.000000,183
284.000000,207
291.000000,144
249.000000,151
242.000000,177
205.000000,175
249.000000,171
293.000000,178
258.000000,139
127.000000,162
126.000000,154
125.000000,174
111.000000,147
128.000000,151
128.000000,188
122.000000,139
112.000000,168
120.000000,160
127.000000,149
78.000000,121
85.000000,151
82.000000,149
81.000000,147
70.000000,140
87.000000,137
73.000000,135
83.000000,131
81.000000,123
70.000000,131
2015.000000,182
2060.000000,178
2032.000000,189
2067.000000,205
2039.000000,171
2108.000000,166
2032.000000,171
2072.000000,148
2022.000000,162
1999.000000,181
8189.000000,184
8045.000000,185
8028.000000,201
8139.000000,177
8120.000000,177
8169.000000,223
8210.000000,220
8245.000000,200
8199.000000,171
8099.000000,178
13585.000000,172
13417.000000,227
13461.000000,204
13656.000000,191
13514.000000,200
13574.000000,210
13640.000000,185
13495.000000,201
13593.000000,197
13658.000000,173
112.000000,163
110.000000,157
112.000000,148
106.000000,134
114.000000,162
112.000000,150
110.000000,156
112.000000,153
108.000000,151
110.000000,153
876.000000,261
874.000000,276
882.000000,296
868.000000,293
884.000000,269
868.000000,280
866.000000,299
884.000000,239
866.000000,295
876.000000,295
2390.000000,349
2370.000000,338
2396.000000,361
2378.000000,343
2398.000000,386
2382.000000,282
2390.000000,380
2368.000000,346
2370.000000,271
2350.000000,302
6049461.000000,218
5757868.000000,280
6509837.000000,178
14931131.000000,272
15735397.000000,266
15174559.000000,281
24608781.000000,310
29054607.000000,311
28120834.000000,325
10933215.000000,220
11582216.000000,238
11552046.000000,214
17348447.000000,332
20206994.000000,271
19381015.000000,261
28263046.000000,320
33310860.000000,290
28963982.000000,242
651.000000,176
719.000000,178
676.000000,183
812.000000,179
668.000000,211
643.000000,186
654.000000,181
725.000000,196
721.000000,166
729.000000,207
1646.000000,180
1606.000000,147
1902.000000,152
1627.000000,177
1545.000000,174
1578.000000,199
1479.000000,170
1984.000000,182
1311.000000,169
1752.000000,176
2118.000000,195
2088.000000,199
2716.000000,182
1990.000000,202
2032.000000,215
2433.000000,187
2220.000000,222
2249.000000,191
1843.000000,177
2043.000000,192
