M=05,N=05
15352.000000,59
19412.000000,89
17290.000000,60
17565.000000,57
19125.000000,58
15868.000000,54
17368.000000,58
18629.000000,66
18649.000000,67
13287.000000,44
12201.000000,64
13060.000000,73
13046.000000,58
12418.000000,74
13867.000000,65
11403.000000,89
12915.000000,88
14068.000000,63
14655.000000,62
10458.000000,68
19049.000000,73
18691.000000,71
18790.000000,58
19302.000000,69
20765.000000,60
20417.000000,87
18482.000000,68
22194.000000,77
19504.000000,68
18195.000000,71
17932.000000,75
18889.000000,80
17646.000000,77
17314.000000,69
19882.000000,72
16817.000000,74
16771.000000,75
18001.000000,77
18294.000000,73
12814.000000,86
28374.000000,71
27061.000000,63
26692.000000,71
29436.000000,103
26911.000000,69
28015.000000,82
29221.000000,66
31071.000000,74
29508.000000,77
25298.000000,81
23809.000000,79
25243.000000,80
25009.000000,72
28014.000000,117
27401.000000,94
26254.000000,108
26146.000000,93
30483.000000,91
27292.000000,97
24654.000000,93
42832.000000,88
48399.000000,125
40774.000000,96
43052.000000,93
43466.000000,95
41474.000000,102
49492.000000,86
46722.000000,63
44397.000000,109
43241.000000,102
23077.000000,127
23987.000000,145
22485.000000,115
22923.000000,127
24537.000000,122
21057.000000,120
22628.000000,118
23922.000000,130
23638.000000,144
19904.000000,95
12565.000000,78
7898.000000,58
11032.000000,81
12723.000000,61
10368.000000,53
9083.000000,64
10210.000000,62
10098.000000,60
11435.000000,71
11455.000000,63
40292.000000,104
45565.000000,149
44738.000000,117
48858.000000,110
40975.000000,111
47849.000000,113
40565.000000,86
46483.000000,131
35726.000000,154
48916.000000,136
129583.000000,203
114453.000000,258
127900.000000,265
130550.000000,270
129493.000000,224
124469.000000,205
120299.000000,206
121338.000000,213
122733.000000,204
119526.000000,220
3507.000000,51
2098.000000,46
3702.000000,44
4626.000000,41
3544.000000,38
4012.000000,47
3693.000000,52
4520.000000,49
4216.000000,44
3780.000000,51
1430.000000,50
1424.000000,57
1432.000000,57
1424.000000,68
1440.000000,67
1436.000000,49
1434.000000,52
1431.000000,59
1432.000000,52
1430.000000,56
536.000000,43
532.000000,41
529.000000,40
538.000000,52
527.000000,48
533.000000,45
531.000000,48
535.000000,51
530.000000,48
533.000000,37
929.000000,55
941.000000,37
934.000000,62
923.000000,52
932.000000,51
926.000000,60
929.000000,52
929.000000,59
925.000000,57
923.000000,57
1950.000000,107
552.000000,104
546.000000,75
572.000000,98
3040.000000,116
3026.000000,120
3026.000000,117
3021.000000,90
981.000000,112
898.000000,110
11599.000000,106
935.000000,84
905.000000,104
13291.000000,112
13249.000000,120
13237.000000,108
13242.000000,128
13223.000000,114
3229.000000,82
3182.000000,104
3277.000000,114
11569.000000,81
3326.000000,121
3221.000000,112
1370.000000,100
1344.000000,93
1348.000000,100
7619.000000,157
7598.000000,150
7627.000000,150
7623.000000,168
2346.000000,151
11546.000000,82
2341.000000,171
2330.000000,120
2411.000000,131
6621.000000,101
6616.000000,103
6601.000000,103
6620.000000,109
6609.000000,104
6000.000000,191
6000.000000,148
11606.000000,89
5876.000000,216
3819.000000,110
3819.000000,134
3835.000000,133
3827.000000,130
11593.000000,78
2141.000000,107
1947.000000,94
1951.000000,97
2018.000000,106
0.000000,57
19102.000000,57
3414.000000,42
133.000000,53
5058.000000,35
6333.000000,60
16425.000000,93
60857.000000,231
6063.000000,42
121.000000,47
6213.000000,50
6579.000000,70
23395.000000,89
99768.000000,259
6035.000000,54
101.000000,58
6665.000000,43
9247.000000,68
25227.000000,137
136720.000000,251
8598.000000,42
129.000000,51
7398.000000,56
10727.000000,56
35578.000000,101
172106.000000,214
5737.000000,54
113.000000,59
7362.000000,63
11626.000000,62
35039.000000,93
186789.000000,255
3980.000000,36
71.000000,74
5824.000000,62
14207.000000,68
4541.000000,35
79.000000,73
7225.000000,54
14476.000000,80
11109.000000,63
36.000000,53
16352.000000,52
38.000000,70
15647.000000,51
2440180.000000,73
2015473.000000,82
3349460.000000,45
4333458.000000,77
4007693.000000,62
4228675.000000,70
6278791.000000,66
6750340.000000,67
5524330.000000,60
7838833.000000,58
6895368.000000,68
6533611.000000,65
8484347.000000,72
8991237.000000,85
8259265.000000,61
2440894.000000,72
1979584.000000,77
3316619.000000,50
4248168.000000,91
3918246.000000,58
4191492.000000,105
6176815.000000,69
6726212.000000,61
5518171.000000,81
7742003.000000,81
6857684.000000,105
6339205.000000,99
8450072.000000,140
8800149.000000,77
8192797.000000,84
1106519.000000,326
3635180.000000,381
8616620.000000,391
252518838.000000,39
340.000000,62
324.000000,88
389.000000,61
400.000000,55
363.000000,50
441.000000,62
366.000000,55
361.000000,53
385.000000,46
405.000000,75
227.000000,70
245.000000,57
284.000000,67
291.000000,71
248.000000,58
240.000000,51
205.000000,50
249.000000,52
293.000000,52
258.000000,41
127.000000,48
126.000000,51
125.000000,52
111.000000,46
128.000000,59
128.000000,66
122.000000,51
112.000000,53
120.000000,50
127.000000,45
78.000000,39
85.000000,42
82.000000,47
81.000000,44
70.000000,51
87.000000,59
73.000000,43
82.000000,44
81.000000,47
70.000000,46
2013.000000,68
2060.000000,60
2032.000000,60
2063.000000,87
2039.000000,79
2108.000000,61
2029.000000,64
2074.000000,70
2022.000000,59
2003.000000,70
8190.000000,60
8040.000000,70
8028.000000,74
8139.000000,51
8120.000000,54
8169.000000,76
8210.000000,85
8245.000000,74
