M=10,N=15
15352.000000,261
19412.000000,252
17290.000000,207
17565.000000,235
19125.000000,300
15868.000000,230
17368.000000,262
18629.000000,292
18649.000000,243
13294.000000,233
12201.000000,281
13067.000000,324
13046.000000,295
12418.000000,268
13867.000000,276
11403.000000,285
12915.000000,263
14068.000000,284
14701.000000,332
10458.000000,256
19049.000000,264
18691.000000,288
18827.000000,260
19302.000000,264
20765.000000,275
20417.000000,269
18482.000000,252
22170.000000,300
19534.000000,267
18195.000000,312
17923.000000,297
18889.000000,296
17639.000000,278
17314.000000,261
19884.000000,362
16817.000000,297
16780.000000,266
18001.000000,315
18303.000000,331
12838.000000,308
28374.000000,293
27089.000000,342
26779.000000,316
29438.000000,310
26911.000000,264
28017.000000,312
29221.000000,307
31209.000000,304
29730.000000,387
25388.000000,370
23842.000000,389
25453.000000,393
25027.000000,395
28023.000000,338
27427.000000,330
26300.000000,374
26146.000000,353
30483.000000,382
27355.000000,410
24651.000000,374
42832.000000,350
48534.000000,436
40775.000000,306
43207.000000,346
43757.000000,321
41474.000000,359
49492.000000,315
46819.000000,330
44466.000000,379
43241.000000,357
23115.000000,450
24033.000000,459
22497.000000,428
22923.000000,528
24637.000000,432
20985.000000,424
22665.000000,425
24095.000000,476
23801.000000,519
19973.000000,433
12565.000000,247
7970.000000,264
11036.000000,229
12723.000000,233
10368.000000,232
9083.000000,248
10210.000000,260
10125.000000,262
11435.000000,266
11455.000000,268
40358.000000,451
45607.000000,457
44425.000000,386
49013.000000,395
41236.000000,528
47937.000000,427
41014.000000,476
46757.000000,414
35513.000000,394
48916.000000,453
130367.000000,759
115141.000000,608
128192.000000,677
130716.000000,769
129790.000000,777
125289.000000,772
121115.000000,793
121575.000000,765
122642.000000,767
120314.000000,746
3507.000000,211
2098.000000,193
3702.000000,174
4626.000000,177
3544.000000,217
4012.000000,205
3693.000000,194
4520.000000,195
4216.000000,189
3780.000000,216
1430.000000,258
1425.000000,248
1432.000000,267
1424.000000,289
1440.000000,238
1436.000000,289
1434.000000,243
1431.000000,268
1432.000000,278
1430.000000,278
536.000000,214
532.000000,186
529.000000,196
538.000000,256
527.000000,180
533.000000,197
531.000000,226
535.000000,216
530.000000,258
533.000000,232
929.000000,204
941.000000,176
934.000000,237
923.000000,257
932.000000,218
926.000000,265
929.000000,242
929.000000,233
925.000000,264
923.000000,268
1959.000000,447
554.000000,367
552.000000,351
578.000000,389
3049.000000,588
3039.000000,530
3044.000000,530
3029.000000,609
982.000000,572
899.000000,464
11611.000000,373
937.000000,507
923.000000,452
13315.000000,533
13276.000000,385
13267.000000,482
13258.000000,462
13252.000000,537
3251.000000,534
3240.000000,571
3300.000000,439
11587.000000,424
3337.000000,584
3249.000000,466
1388.000000,564
1358.000000,515
1358.000000,503
7642.000000,726
7626.000000,816
7646.000000,791
7640.000000,815
2376.000000,553
11596.000000,519
2371.000000,697
2360.000000,593
2450.000000,671
6637.000000,451
6626.000000,429
6631.000000,455
6612.000000,393
6630.000000,428
6000.000000,493
6000.000000,370
11614.000000,421
5880.000000,698
3831.000000,659
3835.000000,611
3840.000000,651
3838.000000,685
11603.000000,441
2150.000000,459
1972.000000,383
1964.000000,391
2006.000000,450
133.000000,489
19102.000000,216
3414.000000,237
133.000000,235
5058.000000,171
6333.000000,266
16458.000000,354
60858.000000,799
6063.000000,201
121.000000,224
6213.000000,215
6579.000000,258
23381.000000,411
99714.000000,794
6037.000000,246
106.000000,244
6665.000000,234
9261.000000,234
25243.000000,377
137480.000000,965
8598.000000,234
129.000000,294
7398.000000,224
10727.000000,251
35594.000000,341
172434.000000,871
5737.000000,247
113.000000,332
7362.000000,235
11626.000000,241
35154.000000,367
189813.000000,810
3980.000000,170
146.000000,339
5824.000000,292
14207.000000,231
4541.000000,174
115.000000,321
7225.000000,216
14476.000000,244
11109.000000,252
96.000000,355
16352.000000,264
105.000000,387
15656.000000,223
2453737.000000,301
2014893.000000,282
3363230.000000,239
4340437.000000,240
4031746.000000,309
4224499.000000,412
6262499.000000,366
6769841.000000,256
5537272.000000,307
7859660.000000,251
6886772.000000,315
6582807.000000,362
8505818.000000,274
8997926.000000,374
8249455.000000,361
2446174.000000,264
1980555.000000,260
3333735.000000,239
4265391.000000,369
3927213.000000,371
4191135.000000,312
6187831.000000,316
6729289.000000,321
5527380.000000,331
7766602.000000,387
6857074.000000,362
6395494.000000,440
8414566.000000,347
8842330.000000,410
8198988.000000,350
1105516.000000,1339
3625800.000000,1861
8609665.000000,1755
252518838.000000,173
340.000000,214
324.000000,269
389.000000,289
400.000000,260
363.000000,288
441.000000,301
367.000000,249
361.000000,230
385.000000,206
405.000000,281
227.000000,235
245.000000,230
284.000000,276
291.000000,210
248.000000,230
242.000000,253
205.000000,240
249.000000,234
293.000000,280
258.000000,203
127.000000,255
126.000000,226
125.000000,242
111.000000,252
128.000000,262
128.000000,300
122.000000,210
112.000000,234
120.000000,248
127.000000,187
78.000000,180
85.000000,226
82.000000,203
81.000000,231
70.000000,216
87.000000,196
73.000000,267
83.000000,200
81.000000,193
70.000000,213
2014.000000,289
2060.000000,264
2032.000000,280
2067.000000,282
2039.000000,294
2108.000000,236
2032.000000,318
2074.000000,293
2022.000000,233
2003.000000,254
8190.000000,301
8045.000000,320
8039.000000,276
8139.000000,251
8125.000000,246
8169.000000,301
8217.000000,313
8249.000000,288
8199.000000,291
8099.000000,262
13585.000000,281
13417.000000,311
13461.000000,232
13656.000000,281
13514.000000,344
13574.000000,276
13640.000000,308
13495.000000,282
13593.000000,294
13658.000000,237
112.000000,255
110.000000,256
112.000000,271
106.000000,252
114.000000,244
112.000000,247
110.000000,225
112.000000,245
108.000000,237
110.000000,226
882.000000,452
874.000000,510
884.000000,443
876.000000,500
884.000000,384
874.000000,422
864.000000,416
882.000000,424
868.000000,406
880.000000,420
2398.000000,498
2386.000000,539
2398.000000,434
2380.000000,548
2398.000000,513
2388.000000,535
2396.000000,532
2382.000000,543
2392.000000,504
2368.000000,447
6049461.000000,345
5757868.000000,320
6509837.000000,264
14998528.000000,386
15662743.000000,375
15236570.000000,315
24638229.000000,502
29017938.000000,422
28198581.000000,429
10933215.000000,298
11582216.000000,365
11552046.000000,314
17425388.000000,515
20189700.000000,464
19392826.000000,346
28241429.000000,462
33587997.000000,457
28835322.000000,438
651.000000,252
719.000000,269
674.000000,291
813.000000,302
668.000000,235
643.000000,239
654.000000,221
725.000000,264
721.000000,335
729.000000,304
1646.000000,248
1606.000000,219
1902.000000,201
1627.000000,309
1545.000000,336
1578.000000,313
1472.000000,231
1983.000000,248
1311.000000,355
1751.000000,276
2121.000000,243
2096.000000,307
2730.000000,289
1990.000000,310
2033.000000,264
2433.000000,236
2220.000000,319
2249.000000,239
1843.000000,306
2043.000000,262
