M=30,N=10
15352.000000,572
19412.000000,592
17290.000000,526
17565.000000,495
19125.000000,631
15868.000000,539
17368.000000,521
18629.000000,563
18649.000000,552
13294.000000,605
12201.000000,683
13067.000000,611
13046.000000,648
12418.000000,626
13867.000000,589
11403.000000,671
12915.000000,628
14068.000000,662
14701.000000,652
10458.000000,636
19049.000000,618
18691.000000,604
18827.000000,705
19302.000000,633
20765.000000,651
20417.000000,596
18482.000000,636
22194.000000,639
19534.000000,555
18195.000000,612
17928.000000,738
18889.000000,798
17816.000000,640
17314.000000,608
19884.000000,773
16817.000000,648
16780.000000,688
18001.000000,840
18303.000000,739
12838.000000,648
28374.000000,637
27089.000000,609
26779.000000,720
29438.000000,726
26911.000000,693
28017.000000,694
29221.000000,609
31164.000000,689
29730.000000,698
25388.000000,745
23842.000000,708
25453.000000,867
25027.000000,889
28023.000000,945
27428.000000,883
26355.000000,951
26146.000000,789
30483.000000,974
27353.000000,889
24659.000000,892
42832.000000,908
48534.000000,889
40774.000000,731
43104.000000,816
43663.000000,888
41482.000000,890
49492.000000,932
46828.000000,779
44466.000000,828
43241.000000,720
23159.000000,1092
24041.000000,993
22524.000000,1132
22923.000000,1072
24649.000000,1078
21057.000000,1081
22735.000000,1227
24095.000000,1090
23801.000000,1035
20039.000000,1057
12565.000000,597
7970.000000,649
11036.000000,609
12723.000000,494
10368.000000,523
9083.000000,530
10210.000000,515
10125.000000,570
11435.000000,649
11455.000000,529
40442.000000,1019
45607.000000,1031
44810.000000,1021
49037.000000,1011
41274.000000,869
47955.000000,936
41014.000000,992
46757.000000,922
35496.000000,901
48916.000000,1096
130395.000000,1870
115948.000000,1931
128251.000000,1922
130495.000000,1769
130030.000000,1889
125273.000000,1874
121191.000000,2053
122030.000000,2160
123399.000000,1852
120630.000000,2000
3507.000000,423
2098.000000,456
3702.000000,457
4626.000000,410
3544.000000,447
4012.000000,448
3693.000000,407
4520.000000,421
4216.000000,429
3780.000000,534
1430.000000,592
1425.000000,567
1432.000000,492
1424.000000,652
1440.000000,603
1436.000000,562
1434.000000,492
1431.000000,620
1432.000000,576
1430.000000,540
536.000000,469
532.000000,427
529.000000,403
538.000000,476
527.000000,410
533.000000,460
531.000000,499
535.000000,468
530.000000,574
533.000000,390
929.000000,534
941.000000,379
934.000000,568
923.000000,497
932.000000,496
926.000000,508
929.000000,505
929.000000,486
925.000000,538
923.000000,564
1960.000000,868
556.000000,853
550.000000,829
578.000000,762
3046.000000,1147
3037.000000,1186
3041.000000,1265
3035.000000,1210
985.000000,1076
902.000000,1009
11602.000000,1023
934.000000,1030
924.000000,982
13294.000000,1260
13271.000000,1030
13275.000000,1043
13263.000000,1095
13258.000000,1076
3257.000000,1125
3240.000000,1143
3313.000000,1181
11600.000000,957
3336.000000,1017
3225.000000,967
1390.000000,1143
1360.000000,1167
1364.000000,1121
7638.000000,1541
7632.000000,1820
7643.000000,1720
7643.000000,1672
2367.000000,1434
11601.000000,1019
2346.000000,1659
2357.000000,1430
2442.000000,1341
6637.000000,1013
6628.000000,835
6626.000000,1030
6620.000000,976
6631.000000,949
6000.000000,1340
6000.000000,1057
11627.000000,987
5878.000000,1673
3834.000000,1249
3832.000000,1258
3839.000000,1320
3835.000000,1143
11611.000000,1013
2145.000000,857
1963.000000,851
1962.000000,868
2013.000000,779
122.000000,717
19102.000000,556
3414.000000,474
133.000000,558
5058.000000,366
6333.000000,621
16464.000000,960
61082.000000,1762
6063.000000,420
121.000000,540
6213.000000,447
6579.000000,583
23381.000000,876
100062.000000,2204
6037.000000,570
118.000000,593
6665.000000,465
9261.000000,530
25243.000000,833
137804.000000,2150
8598.000000,504
129.000000,549
7398.000000,464
10727.000000,567
35578.000000,877
172383.000000,2163
5737.000000,494
150.000000,677
7362.000000,509
11613.000000,592
35154.000000,759
190216.000000,2136
3980.000000,364
133.000000,646
5824.000000,582
14207.000000,539
4541.000000,370
119.000000,725
7225.000000,518
14476.000000,591
11109.000000,564
145.000000,726
16352.000000,600
104.000000,764
15656.000000,527
2457741.000000,558
2031217.000000,654
3351779.000000,566
4348994.000000,597
4048936.000000,566
4239486.000000,644
6266802.000000,738
6757312.000000,676
5544949.000000,682
7868838.000000,753
6893032.000000,755
6562218.000000,727
8537378.000000,707
9025962.000000,685
8288439.000000,859
2448189.000000,660
1979650.000000,657
3335814.000000,544
4275237.000000,677
3947407.000000,696
4201590.000000,675
6201444.000000,689
6738422.000000,669
5546124.000000,696
7780076.000000,870
6869898.000000,762
6392856.000000,901
8439180.000000,790
8885560.000000,833
8196269.000000,793
1107326.000000,2703
3638035.000000,3610
8615075.000000,4228
252518838.000000,367
340.000000,606
324.000000,583
389.000000,619
400.000000,509
363.000000,652
441.000000,545
367.000000,567
361.000000,529
385.000000,454
405.000000,655
227.000000,542
245.000000,572
284.000000,623
291.000000,499
249.000000,484
242.000000,561
205.000000,559
249.000000,581
293.000000,535
258.000000,487
127.000000,599
126.000000,533
125.000000,528
111.000000,510
128.000000,534
128.000000,645
122.000000,468
112.000000,481
120.000000,579
127.000000,442
78.000000,396
85.000000,499
82.000000,464
81.000000,507
70.000000,466
87.000000,474
73.000000,448
83.000000,442
81.000000,418
70.000000,443
2016.000000,610
2060.000000,567
2032.000000,698
2067.000000,588
2039.000000,582
2108.000000,525
2032.000000,696
2074.000000,566
2022.000000,512
2005.000000,642
8190.000000,646
8045.000000,711
8039.000000,655
8139.000000,542
8125.000000,658
8169.000000,653
8217.000000,691
8249.000000,612
